x,y,layer,cuts
-38.625,83.375,-5.72574520111084,"(-6,-4]"
-38.375,83.375,-5.73200750350952,"(-6,-4]"
-38.125,83.375,-5.73236894607544,"(-6,-4]"
-37.625,83.375,-5.74224328994751,"(-6,-4]"
-37.375,83.375,-5.75101137161255,"(-6,-4]"
-37.125,83.375,-5.75594282150269,"(-6,-4]"
-36.875,83.375,-5.76125240325928,"(-6,-4]"
-36.625,83.375,-5.76469898223877,"(-6,-4]"
-36.375,83.375,-5.76124668121338,"(-6,-4]"
-36.125,83.375,-5.76563215255737,"(-6,-4]"
-35.875,83.375,-5.76073408126831,"(-6,-4]"
-35.625,83.375,-5.76365470886231,"(-6,-4]"
-35.375,83.375,-5.77134418487549,"(-6,-4]"
-35.125,83.375,-5.77111434936523,"(-6,-4]"
-34.875,83.375,-5.77261352539063,"(-6,-4]"
-34.625,83.375,-5.77553701400757,"(-6,-4]"
-34.375,83.375,-5.77829456329346,"(-6,-4]"
-34.125,83.375,-5.7743239402771,"(-6,-4]"
-33.875,83.375,-5.77648305892944,"(-6,-4]"
-33.625,83.375,-5.7793984413147,"(-6,-4]"
-33.375,83.375,-5.78085613250732,"(-6,-4]"
-33.125,83.375,-5.78689241409302,"(-6,-4]"
-32.875,83.375,-5.79463195800781,"(-6,-4]"
-32.625,83.375,-5.79830360412598,"(-6,-4]"
-32.375,83.375,-5.79823923110962,"(-6,-4]"
-32.125,83.375,-5.79969930648804,"(-6,-4]"
-31.875,83.375,-5.80030632019043,"(-6,-4]"
-31.625,83.375,-5.79700040817261,"(-6,-4]"
-31.375,83.375,-5.79775810241699,"(-6,-4]"
-31.125,83.375,-5.9695839881897,"(-6,-4]"
-30.875,83.375,-6.17988300323486,"(-8,-6]"
-30.625,83.375,-6.77255964279175,"(-8,-6]"
-30.375,83.375,-7.65792989730835,"(-8,-6]"
-30.125,83.375,-33.133918762207,"(-700,-20]"
-29.875,83.375,-33.6217994689941,"(-700,-20]"
-29.625,83.375,-33.8103828430176,"(-700,-20]"
-29.375,83.375,-34.7131843566895,"(-700,-20]"
-29.125,83.375,-35.0763816833496,"(-700,-20]"
-28.875,83.375,-35.429443359375,"(-700,-20]"
-28.625,83.375,-36.0550880432129,"(-700,-20]"
-28.375,83.375,-36.0743522644043,"(-700,-20]"
-28.125,83.375,-37.3260459899902,"(-700,-20]"
-27.875,83.375,-38.6113166809082,"(-700,-20]"
-27.625,83.375,-39.3347015380859,"(-700,-20]"
-27.375,83.375,-39.1505279541016,"(-700,-20]"
-45.375,83.125,-5.16459178924561,"(-6,-4]"
-45.125,83.125,-5.17572116851807,"(-6,-4]"
-44.875,83.125,-5.17425632476807,"(-6,-4]"
-44.625,83.125,-5.17905950546265,"(-6,-4]"
-44.375,83.125,-5.18670177459717,"(-6,-4]"
-44.125,83.125,-5.19741773605347,"(-6,-4]"
-43.875,83.125,-5.19304037094116,"(-6,-4]"
-43.375,83.125,-5.2054181098938,"(-6,-4]"
-43.125,83.125,-5.21315670013428,"(-6,-4]"
-42.875,83.125,-5.21772003173828,"(-6,-4]"
-42.625,83.125,-5.21974849700928,"(-6,-4]"
-42.375,83.125,-5.22403955459595,"(-6,-4]"
-42.125,83.125,-5.21889400482178,"(-6,-4]"
-41.875,83.125,-5.21861457824707,"(-6,-4]"
-37.625,83.125,-6.28606653213501,"(-8,-6]"
-37.375,83.125,-6.36626720428467,"(-8,-6]"
-37.125,83.125,-6.37110090255737,"(-8,-6]"
-36.875,83.125,-6.37485837936401,"(-8,-6]"
-36.625,83.125,-6.37111330032349,"(-8,-6]"
-36.375,83.125,-6.37078762054443,"(-8,-6]"
-36.125,83.125,-6.3692889213562,"(-8,-6]"
-35.875,83.125,-6.37007284164429,"(-8,-6]"
-35.625,83.125,-6.37030124664307,"(-8,-6]"
-35.375,83.125,-6.37502336502075,"(-8,-6]"
-35.125,83.125,-6.41045904159546,"(-8,-6]"
-34.875,83.125,-6.37951421737671,"(-8,-6]"
-34.625,83.125,-6.2124981880188,"(-8,-6]"
-34.375,83.125,-6.21475839614868,"(-8,-6]"
-34.125,83.125,-6.21452188491821,"(-8,-6]"
-33.875,83.125,-6.21442461013794,"(-8,-6]"
-33.625,83.125,-6.21756935119629,"(-8,-6]"
-33.375,83.125,-6.21890163421631,"(-8,-6]"
-32.875,83.125,-6.22239398956299,"(-8,-6]"
-32.625,83.125,-6.22617864608765,"(-8,-6]"
-32.375,83.125,-6.22617864608765,"(-8,-6]"
-32.125,83.125,-6.22751140594482,"(-8,-6]"
-31.875,83.125,-6.22889804840088,"(-8,-6]"
-31.625,83.125,-6.22889804840088,"(-8,-6]"
-31.375,83.125,-6.22743797302246,"(-8,-6]"
-31.125,83.125,-6.22910261154175,"(-8,-6]"
-30.875,83.125,-6.2295994758606,"(-8,-6]"
-29.875,83.125,-8.84973526000977,"(-10,-8]"
-29.625,83.125,-8.85789489746094,"(-10,-8]"
-29.375,83.125,-8.85895347595215,"(-10,-8]"
-25.625,83.125,-10.6187324523926,"(-12,-10]"
-25.375,83.125,-10.6422281265259,"(-12,-10]"
-25.125,83.125,-10.6975545883179,"(-12,-10]"
-80.125,82.875,-5.44653987884522,"(-6,-4]"
-79.875,82.875,-5.47907829284668,"(-6,-4]"
-79.625,82.875,-5.53623962402344,"(-6,-4]"
-79.375,82.875,-5.54145288467407,"(-6,-4]"
-79.125,82.875,-5.93467044830322,"(-6,-4]"
-78.875,82.875,-6.34296894073486,"(-8,-6]"
-78.625,82.875,-5.06744432449341,"(-6,-4]"
-78.125,82.875,-5.07979774475098,"(-6,-4]"
-77.875,82.875,-5.08712434768677,"(-6,-4]"
-77.625,82.875,-5.09020137786865,"(-6,-4]"
-77.375,82.875,-5.093186378479,"(-6,-4]"
-76.625,82.875,-5.09821367263794,"(-6,-4]"
-76.375,82.875,-5.09931755065918,"(-6,-4]"
-76.125,82.875,-5.10063600540161,"(-6,-4]"
-75.875,82.875,-5.10082578659058,"(-6,-4]"
-75.625,82.875,-5.10309553146362,"(-6,-4]"
-75.375,82.875,-5.10301923751831,"(-6,-4]"
-75.125,82.875,-5.10128211975098,"(-6,-4]"
-74.875,82.875,-5.10128211975098,"(-6,-4]"
-74.625,82.875,-5.10246896743774,"(-6,-4]"
-74.375,82.875,-5.10108661651611,"(-6,-4]"
-74.125,82.875,-5.09888458251953,"(-6,-4]"
-73.875,82.875,-5.10020208358765,"(-6,-4]"
-73.375,82.875,-5.10470724105835,"(-6,-4]"
-73.125,82.875,-5.10447263717651,"(-6,-4]"
-72.875,82.875,-5.10297346115112,"(-6,-4]"
-72.625,82.875,-5.10165452957153,"(-6,-4]"
-72.375,82.875,-5.10104942321777,"(-6,-4]"
-72.125,82.875,-5.09704256057739,"(-6,-4]"
-71.875,82.875,-5.09981346130371,"(-6,-4]"
-71.625,82.875,-5.09930038452148,"(-6,-4]"
-71.375,82.875,-5.10216760635376,"(-6,-4]"
-71.125,82.875,-5.2459716796875,"(-6,-4]"
-70.875,82.875,-6.20806789398193,"(-8,-6]"
-70.625,82.875,-6.88513565063477,"(-8,-6]"
-70.375,82.875,-6.88192319869995,"(-8,-6]"
-70.125,82.875,-7.1493034362793,"(-8,-6]"
-69.875,82.875,-8.21129894256592,"(-10,-8]"
-69.625,82.875,-8.52639579772949,"(-10,-8]"
-69.375,82.875,-8.51640796661377,"(-10,-8]"
-69.125,82.875,-8.51898574829102,"(-10,-8]"
-68.875,82.875,-8.52301597595215,"(-10,-8]"
-68.625,82.875,-8.59942436218262,"(-10,-8]"
-68.375,82.875,-8.25724792480469,"(-10,-8]"
-68.125,82.875,-8.56507682800293,"(-10,-8]"
-67.875,82.875,-8.57106971740723,"(-10,-8]"
-67.625,82.875,-8.57365608215332,"(-10,-8]"
-67.375,82.875,-8.57109451293945,"(-10,-8]"
-67.125,82.875,-8.57196712493897,"(-10,-8]"
-66.875,82.875,-8.57507610321045,"(-10,-8]"
-66.625,82.875,-8.57807064056397,"(-10,-8]"
-65.125,82.875,-8.59120559692383,"(-10,-8]"
-64.875,82.875,-8.94934177398682,"(-10,-8]"
-46.375,82.875,-5.20954513549805,"(-6,-4]"
-46.125,82.875,-5.21222829818726,"(-6,-4]"
-45.875,82.875,-5.21095275878906,"(-6,-4]"
-45.625,82.875,-5.21995210647583,"(-6,-4]"
-45.375,82.875,-5.22076797485352,"(-6,-4]"
-45.125,82.875,-5.21835803985596,"(-6,-4]"
-44.875,82.875,-5.21864223480225,"(-6,-4]"
-44.625,82.875,-5.22596645355225,"(-6,-4]"
-44.375,82.875,-5.23434734344482,"(-6,-4]"
-44.125,82.875,-5.23799133300781,"(-6,-4]"
-43.875,82.875,-5.24253749847412,"(-6,-4]"
-43.625,82.875,-5.24409627914429,"(-6,-4]"
-43.375,82.875,-5.24753856658936,"(-6,-4]"
-43.125,82.875,-5.25218296051025,"(-6,-4]"
-42.875,82.875,-5.25938272476196,"(-6,-4]"
-42.625,82.875,-5.26258754730225,"(-6,-4]"
-42.375,82.875,-5.2678370475769,"(-6,-4]"
-42.125,82.875,-5.27258968353272,"(-6,-4]"
-41.875,82.875,-5.27444314956665,"(-6,-4]"
-41.625,82.875,-5.50645256042481,"(-6,-4]"
-41.375,82.875,-5.85331678390503,"(-6,-4]"
-41.125,82.875,-5.95935726165772,"(-6,-4]"
-40.875,82.875,-5.95459079742432,"(-6,-4]"
-40.625,82.875,-5.9576587677002,"(-6,-4]"
-40.375,82.875,-5.96039915084839,"(-6,-4]"
-40.125,82.875,-5.96958017349243,"(-6,-4]"
-39.875,82.875,-5.97190713882446,"(-6,-4]"
-39.625,82.875,-6.0026445388794,"(-8,-6]"
-39.375,82.875,-5.88282632827759,"(-6,-4]"
-39.125,82.875,-5.86739158630371,"(-6,-4]"
-38.625,82.875,-5.86778020858765,"(-6,-4]"
-38.375,82.875,-5.8698410987854,"(-6,-4]"
-38.125,82.875,-5.87124347686768,"(-6,-4]"
-37.875,82.875,-5.87511587142944,"(-6,-4]"
-37.625,82.875,-5.88181066513062,"(-6,-4]"
-37.375,82.875,-5.88341426849365,"(-6,-4]"
-37.125,82.875,-5.87675857543945,"(-6,-4]"
-36.875,82.875,-5.87891721725464,"(-6,-4]"
-36.625,82.875,-5.87731456756592,"(-6,-4]"
-36.375,82.875,-5.87593126296997,"(-6,-4]"
-36.125,82.875,-5.88007497787476,"(-6,-4]"
-35.875,82.875,-5.87882709503174,"(-6,-4]"
-35.625,82.875,-5.8807373046875,"(-6,-4]"
-35.375,82.875,-5.88204717636108,"(-6,-4]"
-34.875,82.875,-6.31924772262573,"(-8,-6]"
-34.625,82.875,-6.67711973190308,"(-8,-6]"
-34.375,82.875,-6.6767201423645,"(-8,-6]"
-34.125,82.875,-6.85723066329956,"(-8,-6]"
-33.875,82.875,-6.68019390106201,"(-8,-6]"
-33.625,82.875,-6.68251037597656,"(-8,-6]"
-33.375,82.875,-6.68341684341431,"(-8,-6]"
-33.125,82.875,-6.68851566314697,"(-8,-6]"
-32.875,82.875,-6.68763732910156,"(-8,-6]"
-32.625,82.875,-6.68879652023315,"(-8,-6]"
-32.375,82.875,-6.68903970718384,"(-8,-6]"
-32.125,82.875,-6.86834621429443,"(-8,-6]"
-31.875,82.875,-6.8672342300415,"(-8,-6]"
-31.625,82.875,-6.87100458145142,"(-8,-6]"
-31.375,82.875,-6.87219715118408,"(-8,-6]"
-31.125,82.875,-6.87497234344482,"(-8,-6]"
-30.875,82.875,-6.87460517883301,"(-8,-6]"
-30.625,82.875,-6.73577737808228,"(-8,-6]"
-30.375,82.875,-6.38865900039673,"(-8,-6]"
-30.125,82.875,-6.22193479537964,"(-8,-6]"
-29.875,82.875,-6.22916316986084,"(-8,-6]"
-29.625,82.875,-6.22983503341675,"(-8,-6]"
-29.375,82.875,-6.23334550857544,"(-8,-6]"
-29.125,82.875,-6.23177099227905,"(-8,-6]"
-28.875,82.875,-6.22554636001587,"(-8,-6]"
-28.625,82.875,-6.22262859344482,"(-8,-6]"
-28.375,82.875,-6.31506586074829,"(-8,-6]"
-28.125,82.875,-6.31604337692261,"(-8,-6]"
-27.875,82.875,-6.31770610809326,"(-8,-6]"
-27.625,82.875,-6.32323122024536,"(-8,-6]"
-27.375,82.875,-6.32784748077393,"(-8,-6]"
-27.125,82.875,-6.23662900924683,"(-8,-6]"
-26.875,82.875,-6.11660861968994,"(-8,-6]"
-26.625,82.875,-5.95439100265503,"(-6,-4]"
-26.375,82.875,-5.9400224685669,"(-6,-4]"
-26.125,82.875,-5.93387365341187,"(-6,-4]"
-25.875,82.875,-5.91392278671265,"(-6,-4]"
-25.625,82.875,-5.9011173248291,"(-6,-4]"
-25.375,82.875,-5.89366102218628,"(-6,-4]"
-24.375,82.875,-6.04054832458496,"(-8,-6]"
-24.125,82.875,-6.03123998641968,"(-8,-6]"
-82.375,82.625,-5.48048114776611,"(-6,-4]"
-82.125,82.625,-5.48205375671387,"(-6,-4]"
-81.875,82.625,-5.40982532501221,"(-6,-4]"
-81.625,82.625,-5.41240835189819,"(-6,-4]"
-80.625,82.625,-5.42081117630005,"(-6,-4]"
-80.375,82.625,-5.42543649673462,"(-6,-4]"
-80.125,82.625,-5.42576789855957,"(-6,-4]"
-79.875,82.625,-5.4302830696106,"(-6,-4]"
-79.625,82.625,-5.43054628372192,"(-6,-4]"
-79.375,82.625,-5.42964553833008,"(-6,-4]"
-79.125,82.625,-5.47532844543457,"(-6,-4]"
-78.875,82.625,-6.27820491790772,"(-8,-6]"
-78.625,82.625,-6.50482368469238,"(-8,-6]"
-78.375,82.625,-6.49626731872559,"(-8,-6]"
-78.125,82.625,-6.49767446517944,"(-8,-6]"
-77.875,82.625,-6.50189542770386,"(-8,-6]"
-77.625,82.625,-6.50752353668213,"(-8,-6]"
-77.375,82.625,-6.50931072235107,"(-8,-6]"
-77.125,82.625,-6.16350507736206,"(-8,-6]"
-76.875,82.625,-5.73035192489624,"(-6,-4]"
-76.625,82.625,-5.84437847137451,"(-6,-4]"
-76.375,82.625,-5.84562873840332,"(-6,-4]"
-75.375,82.625,-5.85502338409424,"(-6,-4]"
-75.125,82.625,-5.8541111946106,"(-6,-4]"
-74.875,82.625,-5.85676288604736,"(-6,-4]"
-74.625,82.625,-5.86008071899414,"(-6,-4]"
-74.375,82.625,-5.86042785644531,"(-6,-4]"
-74.125,82.625,-5.86150360107422,"(-6,-4]"
-73.875,82.625,-5.85871076583862,"(-6,-4]"
-73.625,82.625,-5.85673713684082,"(-6,-4]"
-73.375,82.625,-5.85673713684082,"(-6,-4]"
-73.125,82.625,-5.85274314880371,"(-6,-4]"
-72.875,82.625,-5.85161876678467,"(-6,-4]"
-72.625,82.625,-5.8512749671936,"(-6,-4]"
-72.375,82.625,-5.84673976898193,"(-6,-4]"
-72.125,82.625,-5.84771299362183,"(-6,-4]"
-71.875,82.625,-5.84660053253174,"(-6,-4]"
-71.625,82.625,-5.84716463088989,"(-6,-4]"
-71.375,82.625,-5.84597396850586,"(-6,-4]"
-71.125,82.625,-6.29047060012817,"(-8,-6]"
-70.875,82.625,-6.86689901351929,"(-8,-6]"
-70.625,82.625,-7.63892936706543,"(-8,-6]"
-70.375,82.625,-7.63184213638306,"(-8,-6]"
-70.125,82.625,-7.63014841079712,"(-8,-6]"
-69.875,82.625,-7.63315200805664,"(-8,-6]"
-69.625,82.625,-7.63531970977783,"(-8,-6]"
-69.375,82.625,-7.63527727127075,"(-8,-6]"
-69.125,82.625,-7.86162090301514,"(-8,-6]"
-68.875,82.625,-7.8506965637207,"(-8,-6]"
-68.625,82.625,-8.60467052459717,"(-10,-8]"
-68.375,82.625,-8.60959148406982,"(-10,-8]"
-68.125,82.625,-8.60632419586182,"(-10,-8]"
-67.875,82.625,-8.59816741943359,"(-10,-8]"
-67.625,82.625,-8.59916687011719,"(-10,-8]"
-67.375,82.625,-8.59995841979981,"(-10,-8]"
-67.125,82.625,-8.59341335296631,"(-10,-8]"
-66.875,82.625,-8.60311603546143,"(-10,-8]"
-66.625,82.625,-8.61725997924805,"(-10,-8]"
-66.375,82.625,-8.61471366882324,"(-10,-8]"
-66.125,82.625,-8.62060356140137,"(-10,-8]"
-65.875,82.625,-8.62363624572754,"(-10,-8]"
-65.625,82.625,-8.62610149383545,"(-10,-8]"
-65.375,82.625,-8.62658405303955,"(-10,-8]"
-65.125,82.625,-8.62697696685791,"(-10,-8]"
-64.875,82.625,-8.63264656066895,"(-10,-8]"
-64.625,82.625,-8.62309551239014,"(-10,-8]"
-64.375,82.625,-8.62637805938721,"(-10,-8]"
-64.125,82.625,-8.62620258331299,"(-10,-8]"
-63.875,82.625,-8.62290573120117,"(-10,-8]"
-63.625,82.625,-8.62444972991943,"(-10,-8]"
-63.375,82.625,-8.62581062316895,"(-10,-8]"
-47.625,82.625,-13.5781288146973,"(-14,-12]"
-47.375,82.625,-13.5694131851196,"(-14,-12]"
