date,ERA5,ACCESS.ESM1.5,BCC.CSM2.MR,CanESM5,GFDL.ESM4,IPSL.CM6A.LR,MIROC6,MRI.ESM2.0,NorESM2.LM
2003-01-01,44850.1301686958,47045.8120009572,38495.7508964591,30893.8897152401,30301.1070229671,29047.4199643026,34089.5959806139,27633.4891030606,37359.1636863616
2003-02-01,33460.4161926226,33704.1152505173,35626.0912339757,40935.1325088141,31312.287369704,33416.8494237766,31569.4717064277,30422.389790528,39264.1197618631
2003-03-01,27409.9056071222,34869.203640256,31900.1903662443,30101.2969571955,37006.9165773696,23365.6278098623,32493.5108389753,42587.2834475756,36061.6013879533
2003-04-01,29615.4915753609,35774.9547839131,30474.1784144053,29325.6551973411,34176.1792520544,27118.3375287254,33195.8532730909,35296.2964707321,30959.4059180747
2003-05-01,25662.0738698372,41599.022072739,50629.4712808446,34148.8964314366,36710.6369232878,32103.217165205,36967.221173129,33142.6279990883,29943.9737883207
2003-06-01,48288.6852047752,72715.7972098739,35699.9459896468,64546.0080723635,51590.9079520404,48803.2308494412,50637.6001737991,71795.918470679,36576.3367941509
2003-07-01,42836.1203951361,45862.7836812717,41285.2840571013,50278.657381615,53783.2010439829,55991.0430787526,50044.0959274243,52057.6706110175,50521.7161681456
2003-08-01,43683.3822288348,51368.3322967924,49455.3136912349,43319.7069376497,51590.9079520404,42840.7672039927,41571.9146941749,51415.4529089772,49213.6559517109
2003-09-01,65803.5699553895,51621.5437875398,47915.7847033515,52355.5593966575,70084.2499492764,64328.2234283275,66735.8085680593,57954.6382868315,52459.6345981882
2003-10-01,78717.1022598693,66668.7177368373,55034.6363252791,67198.6596514558,67496.9325156791,62071.3232029467,62620.0628812905,66112.3921315101,65716.4184442061
2003-11-01,67872.9077309649,42224.841054131,27740.3243844226,18801.8235037233,37958.174183542,71282.1960890739,62620.0628812905,32313.2452670937,56186.3081647174
2003-12-01,58823.40421502,45077.4855367751,48333.609624671,43345.7303446879,48580.4120100577,48829.5818562209,54464.4074157149,54854.2688601832,42449.0844728851
2004-01-01,34996.919362049,42633.9960689566,50775.026675536,41260.8637425234,32002.1063759571,29047.4199643026,55242.428467757,31371.3278823312,30449.3051005222
2004-02-01,32390.9826155497,43281.4124878486,50686.5347204795,29686.9161086124,41494.3405503339,31348.0545956855,52672.2723487599,24023.5589344176,31253.9521713307
2004-03-01,19117.0503448229,43951.9502319022,29783.8214226069,33920.387982908,37191.2778119264,42104.8456773291,41556.1476127315,51003.097480385,39219.5216959354
2004-04-01,20641.0947140687,38988.7916140868,29374.2415366388,38166.9846786247,25461.6562275549,20666.153417957,34536.2756368873,24023.5589344176,30449.3051005222
2004-05-01,33947.906149173,54089.2912500718,45803.4279987465,37083.0047377672,33758.877095439,51117.2293935975,48321.3945158851,34281.2752496942,46818.2908751956
