date,ACCESS-ESM1-5,BCC-CSM2-MR,CanESM5,GFDL-ESM4,IPSL-CM6A-LR,MIROC6,MRI-ESM2-0,NorESM2-LM
2017-07-01,53944.4688727695,59609.4559351887,69922.7108162381,61699.2746872621,61174.643018356,41149.4385711742,57663.2761663066,61017.264912331
2017-08-01,71164.5965912786,71165.4425907546,55460.6790665486,55589.4164306519,62767.0574316915,66936.0177055567,61129.9731362701,57125.2777293412
2017-09-01,63665.7068240044,87155.6777549661,55210.0679443294,81889.3840281036,56161.2691741063,65122.8712058831,64567.0629097362,56358.345351779
2017-10-01,76229.9593108305,56756.5367185904,84355.9449612575,80876.6533887915,64958.446206892,69481.5490836185,64429.8770364779,93435.9814955838
2017-11-01,71043.75218359,76494.9569316997,65285.4289493208,64444.6614610535,68597.5059229137,65441.4055763884,72089.2561857803,76638.0417479533
2017-12-01,58200.0186151668,56268.675466783,76694.8467312285,66038.9027187713,73970.1182166293,60846.7843375575,64844.034332571,73530.2185947089
2018-01-01,72697.5157857932,61814.6010525675,67861.226681249,68864.3124330333,63517.6667611516,64693.7070299761,58544.7241927862,65481.7279522024
2018-02-01,74220.3010508857,74601.83056363,71432.6569187497,76569.2462428903,67541.9086935498,93332.7903705615,71619.6346177707,78529.7693864858
2018-03-01,77985.1460901728,75776.6143327035,68419.4635277476,66387.6762852364,63517.6667611516,83044.2849934185,72137.1986230349,76080.5685874005
2018-04-01,57140.1530605756,62543.4004181539,67551.9137359841,93439.8391547325,86650.3485911951,62677.2717719804,72632.152923651,60919.6155899341
2018-05-01,61657.3377189556,89415.09976663,91338.2260110256,76892.4352407509,73300.1285507941,64896.4626088616,61730.6674093542,94461.5075394315
2018-06-01,51210.2589888633,74367.4036571524,67913.6835118356,54577.9260387879,84805.586402087,79060.6821735612,78400.06904522,59786.3256482453
2018-07-01,53944.4688727695,55963.5585064254,58530.4394894293,51091.3088701949,63659.8909162529,61897.6919254681,61004.8141071404,52711.0601040471
2018-08-01,51210.2589888633,63866.5189485615,59716.6893012378,56336.2706260484,56288.8198663515,65150.7247577355,48244.6228642434,66852.608800883
2018-09-01,64421.8675011844,68691.7274340062,65088.1357897826,75122.3889542974,56259.2661821078,62677.2717719804,59878.004964207,59005.7549967048
2018-10-01,60404.8987809798,53490.4454821776,84351.1204497974,83028.0698608873,49300.0273366928,67957.5863136426,78400.06904522,54457.8374799879
2018-11-01,64307.355338768,80940.597287307,61895.2514114951,93439.8391547325,65429.6929401202,84848.2873353977,65086.3397691967,100190.033716601
2018-12-01,58173.5725091574,66396.3883982005,67154.6627848152,77761.6987263749,67422.8580566386,61941.7529130333,57741.5574086486,60684.2566443378
2019-01-01,56184.7299346279,63304.4990412556,59923.1751101072,65319.8232700034,71063.5959460203,65521.2194426428,62621.6506412416,65671.5872096537
2019-02-01,77240.4280092871,65713.2259628049,67264.5036971618,68648.8728239593,86818.110657361,64169.4242464142,72498.0506347842,61813.4202752937
2019-03-01,86293.3180521261,85274.2740673809,61985.4507875554,88158.3564748809,59633.4069633198,88355.7352510158,56273.9710660438,73195.7449231821
2019-04-01,57870.8869826836,66396.3883982005,91893.8582791317,58168.5368031928,59529.3298853542,95286.1573351202,62206.1884086851,62672.563693376
2019-05-01,51254.7322916926,59347.5374460746,69182.4286542985,76330.4257186093,74046.4885688068,62805.3241209624,89275.5254493603,80851.261914556
2019-06-01,66947.3791901471,88142.845629749,74979.4244540914,79282.8677696565,72748.8452100135,70963.0781969716,50349.5725560005,58711.546676957
2019-07-01,51224.7024460076,71375.3004087002,53835.4251781847,68520.5609059844,61913.5755794466,55064.3504954414,48622.1642361847,58591.3113752425
2019-08-01,54920.0205991065,52468.5994764888,57123.4174794479,78410.7561429424,63875.1988528806,64499.687167032,57531.6331595462,46994.7938342663
2019-09-01,64421.8675011844,59570.4522277657,63710.9916750971,78926.9812693449,62675.2381685058,69835.9339282805,63488.1094064541,59805.6113958337
2019-10-01,62118.9684583247,56011.4376983652,89935.8324285729,87062.3172389927,62812.8295704711,56340.2565325438,70684.8851609948,62542.6834898818
2019-11-01,64026.3608404038,73298.7270194712,84355.9449612575,88158.3564748809,83431.8642684895,80091.8623185492,102163.256935216,88457.8753321109
2019-12-01,63405.8650314111,61814.6010525675,71432.6569187497,62064.1608691169,83378.4224644495,61260.5784815759,62621.6506412416,74319.7854015799
2020-01-01,63470.6228224473,75575.5709779922,75436.3660965631,57505.9723175556,92992.5161095662,65576.7921882159,63748.0100812483,63804.1797861445
2020-02-01,64307.355338768,59490.732599774,66828.8472568371,62099.2867179665,68952.795053578,61735.9017895354,72465.8658190522,73195.7449231821
2020-03-01,73339.3006571175,73211.5368267245,68653.0647857742,76862.841052593,61846.2891041849,69919.6627236526,62214.8287562632,76638.0417479533
2020-04-01,74220.3010508857,68286.6739040505,88187.1518364903,91391.7804944776,69451.9888856562,77446.8519453726,93085.0098880716,81000.4322685257
2020-05-01,76353.8359460865,69178.9903898878,91654.0903671114,66199.8602279814,87660.1447126657,81944.2062686955,71980.9370086568,74613.3126172729
2020-06-01,51208.1284731175,74404.326612653,55669.9813698693,51559.5530451816,49854.5477048782,63618.4115423201,49486.6165147047,57785.3760626289
2020-07-01,51224.7024460076,54511.0688681373,54209.5312224427,55589.4164306519,49160.6330096999,58697.2962010878,49804.8755169193,68372.4202751188
2020-08-01,80962.9325267895,68691.7274340062,72291.3191145701,58349.6489479342,57442.3007916806,66936.0177055567,73922.9305041543,55450.4635518845
2020-09-01,70261.1177073141,56011.4376983652,61238.9771908312,51091.3088701949,64581.6246297688,58276.7544634652,63323.8365456698,59264.3745841116
2020-10-01,86377.9918991682,64255.648642959,70600.4374056892,70805.8287444939,57442.3007916806,67957.5863136426,64429.8770364779,64710.0592393522
2020-11-01,78810.9147134419,73097.4667287148,60751.3362712849,66569.948374481,55262.8453039588,80091.8623185492,82561.5915108515,63168.371006699
2020-12-01,64139.7076226759,66396.3883982005,61744.3930271726,66850.2557198211,86814.3825183966,61563.4633686378,57730.967798403,60503.2605623819
2021-01-01,73353.2626849585,74601.83056363,73028.3891769336,58168.5368031928,79173.5088033079,61941.7529130333,58113.1490564388,60297.2068904254
2021-02-01,66892.0152496257,75857.2258893596,89902.0304997704,67753.4553512564,70369.316129275,71374.9363510538,77164.1199544217,72278.0156668307
2021-03-01,74554.8610470608,74346.2152384795,73654.7331784242,58124.7469404522,86650.3485911951,80241.7856818792,77873.0105367042,59760.4630900889
2021-04-01,56568.8200583251,60853.5442572529,88187.1518364903,64088.5136662278,81995.6475460284,82854.2302346529,70860.8434230862,62994.3027786914
2021-05-01,63879.8354616382,82072.207403527,58558.5269865899,73452.8531465974,79173.5088033079,93944.5023549748,55988.9694898647,88394.9106416604
2021-06-01,71043.75218359,56011.4376983652,67871.9325501635,77546.4996846642,66358.1332272653,58212.3769887415,75587.9210883104,74714.0496369326
2021-07-01,47506.44156075,52468.5994764888,57467.2388524723,60426.8177743487,58131.3644486395,82431.5936322872,61124.7775513689,99874.66948803
2021-08-01,61729.3576538352,68943.1250379325,63619.4287545879,65309.6390013861,50340.7305423179,55506.9948382868,75637.9459265801,56959.3313132138
2021-09-01,70071.3844400614,72433.768540626,64082.438155712,62598.12827583,53636.9788142016,79037.1037161924,87736.1406555346,52711.0601040471
2021-10-01,78804.6046299516,58585.2099120866,88519.631731077,47401.1119714413,57101.113191059,55310.2113484436,83119.9531855742,87141.4197321038
2021-11-01,67302.8148943995,89868.6204720503,84236.7673893888,90678.8966666774,67234.7930729338,76622.5211441048,72858.6684766605,65671.5872096537
2021-12-01,57192.3821946184,66396.3883982005,61382.483747699,63162.0864063925,65852.1016769789,66470.8299728249,65191.2080657383,59760.4630900889
2022-01-01,71400.5635518316,62335.3824474367,67861.226681249,67026.8956584348,62376.9280763758,68647.358747159,77656.9733833375,58490.1949038498
2022-02-01,78256.2778044219,84048.4923481653,69221.3494276382,66496.3065422124,65852.1016769789,62856.9547556592,96490.696676989,66555.0620037675
2022-03-01,73062.4866809991,62335.3824474367,63193.2689684611,79691.7640917116,70746.1625148644,58276.7544634652,71107.6187006013,59760.4630900889
2022-04-01,57870.8869826836,89354.0597833917,77675.9021325619,68984.3669104387,70643.7896041225,83044.2849934185,83280.1999072421,69081.3681105691
2022-05-01,60175.322235607,61010.2716823054,72315.9694287375,62690.5148459287,74456.9582385713,82747.2269277074,64214.3732514903,88394.9106416604
2022-06-01,63838.6340079419,56011.4376983652,85410.0577060952,68566.5609713858,83453.640872524,67661.64219056,63422.4403274579,77936.9581962719
2022-07-01,53944.4688727695,68464.8979041658,55806.5284647638,46392.5270204562,66358.1332272653,57541.2801071376,50209.6083527591,62716.5215795151
2022-08-01,51224.7024460076,59038.5507124401,77947.2465274015,78138.6740857279,60111.4358396962,52526.9903008877,61206.3913610995,63308.1063395137
2022-09-01,41806.6449488442,53538.4706741611,66036.7427436039,70805.8287444939,57048.5861493796,65152.4532676393,49402.739742827,56074.0950484369
2022-10-01,60175.322235607,62981.2510156878,67645.0798575049,68520.5609059844,51500.8374454616,65152.4532676393,56295.9685404343,48904.8739801328
2022-11-01,57870.8869826836,74658.606178811,69221.3494276382,69959.8718626302,59934.9126630364,60781.349696395,97154.1538309471,62672.563693376
2022-12-01,59138.1208252087,62682.414187031,60272.2016960428,63214.2217680692,63517.6667611516,67615.7023833172,57730.967798403,72059.4266558222
2023-01-01,63859.2766919768,69676.1646867874,62602.2649597997,61067.1175215991,70746.1625148644,61941.7529130333,74155.8113196907,73165.5448560129
2023-02-01,61495.3400291996,81055.4705006335,69266.2500091717,66021.3931213903,68952.795053578,69147.961105637,76664.2574792714,68094.010182154
2023-03-01,74886.1551207912,89319.7641294502,84376.0839353047,59917.0531259501,90308.0347276944,83122.7639466301,83948.0602041035,62717.5960725307
2023-04-01,95467.2687608077,60853.5442572529,70231.9370149243,75666.9932304099,73383.5656973239,64693.7070299761,85034.654006316,71150.4029534742
2023-05-01,63460.1027587377,89965.9994863393,92612.6153141673,66790.0229908943,79118.1279578684,63850.5864013948,82561.5915108515,60919.6155899341
2023-06-01,48034.4960360233,77099.0852041884,67919.5120325898,49694.6686121257,57048.5861493796,67703.4672535177,83080.0132605158,77933.113869952
2023-07-01,46430.0071006278,58728.0944830158,57779.7271485289,54450.0111741109,50340.7305423179,55310.2113484436,60154.8868042734,56181.6251121787
2023-08-01,60175.322235607,47915.3616706283,55211.922715271,66079.4654240907,50340.7305423179,43941.152537164,60969.7901018844,58714.7956009756
2023-09-01,56496.4932308546,62040.8417499514,53048.0720793837,55255.5373342409,56289.071086396,58121.5680337588,75001.3249201692,62852.0420153754
2023-10-01,77282.0804564962,59631.9724846938,79929.1830774268,79282.8677696565,56259.2661821078,62178.8723503718,82520.6246372539,79683.6410518441
2023-11-01,80596.4337598972,59744.5099159703,77675.9021325619,87062.3172389927,77644.9697820129,85868.8766936298,83948.0602041035,76215.3106883251
2023-12-01,63775.8667936632,64121.2447648285,73028.3891769336,68108.9635976773,69678.5871174354,62063.7078197249,66125.7422574377,65042.9992440118
2024-01-01,62978.544133734,70496.2222428676,75439.7031306124,58124.7469404522,73187.8981250157,62140.5223494807,58113.1490564388,73347.5830360356
2024-02-01,63681.5799750627,73143.12147997,71935.3643428913,77720.335127753,83867.8236701217,68187.5303057959,62621.6506412416,65514.7315441305
2024-03-01,74760.9082810154,82903.9940341889,70728.0820673834,66393.4585791111,86323.2408473618,85894.9647160844,57730.967798403,68511.8653935032
2024-04-01,66892.0152496257,69521.5575172472,58476.7289941422,64456.9130083806,74856.47311648,82097.6496375842,72632.152923651,73718.5255534758
2024-05-01,78810.9147134419,89415.09976663,82138.9712830857,62690.5148459287,79374.274081504,77625.2247942211,83080.0669372711,81000.4322685257
2024-06-01,73135.3460923608,65711.5381312348,59882.2323616964,59440.4106179239,57388.4070876568,76469.5664948716,58962.5435369171,94248.738550254
2024-07-01,53944.4688727695,67521.1674447795,75894.0429818089,53415.4006756601,61174.643018356,67439.314446063,60850.5530142772,57785.3760626289
2024-08-01,72896.3202039103,65391.7278555114,67871.9325501635,81567.4141862244,55210.3966994284,57936.8227986358,48244.6228642434,59770.4529114683
2024-09-01,101938.958650175,59282.2108835615,87250.3602829419,79744.4770618685,60670.7155534142,76622.5211441048,48009.0428964314,79647.2628125158
2024-10-01,59046.9587978377,55349.4334145241,88519.631731077,50889.7503900332,56288.8198663515,67128.4865646775,63837.5601735542,84067.646051157
2024-11-01,73394.2842085859,74274.5507268072,65164.0925278761,61804.0785548057,58278.7903954811,74638.1846268029,71083.2828032017,61269.5711375951
2024-12-01,66620.8089874766,76881.975663679,77652.8501014447,63721.164058237,59633.4069633198,58039.7686416885,80311.3938252823,73347.5830360356
2025-01-01,62936.4201826955,65713.2259628049,66881.8208119943,80588.8141145747,71273.6413345538,64736.023569749,70870.3747542879,60503.2605623819
2025-02-01,72317.1603291572,66396.3883982005,84351.1204497974,75770.1102211256,93517.0840970371,62063.7078197249,73733.8263547057,63054.7836783762
2025-03-01,62104.3459108709,73298.7270194712,67647.5777850082,68984.3669104387,83201.0610182477,84174.2237551388,83897.805216227,63044.7824618808
2025-04-01,79839.3284716145,61844.2000495534,94246.7413533717,75460.740645087,74511.9569293274,67345.4723154783,72498.0506347842,81000.4322685257
2025-05-01,81901.6923661579,82252.0920079571,85410.0577060952,73452.8531465974,74511.9569293274,84271.0799825609,93174.4979512207,93163.1592005647
2025-06-01,59019.4369978972,74791.6567787197,79585.8832383022,55589.4164306519,77509.1117546801,54678.0068441547,64978.2103214335,99874.66948803
2025-07-01,51224.7024460076,54511.0688681373,71224.0000142013,63815.1274512737,61913.5755794466,68251.5776452935,48009.0428964314,54304.2935124136
2025-08-01,63811.4124110641,67629.3636886878,54600.0957921936,46425.6749662365,56259.2661821078,55305.9376927026,67463.0647182342,47010.1964062536
