date,ERA5,ACCESS.ESM1.5,BCC.CSM2.MR,CanESM5,GFDL.ESM4,IPSL.CM6A.LR,MIROC6,MRI.ESM2.0,NorESM2.LM
2003-01-01,49907.8150491663,80310.9030299035,50481.6130478068,70809.9535594149,56757.7453522308,65208.816670092,48930.8902431535,57210.0299245217,57758.8804743801
2003-02-01,52749.815879887,63060.0492818617,61545.4757387645,55180.7563857555,55271.6420717368,56829.6119989354,58563.9718975447,57132.218122357,57623.799224533
2003-03-01,50832.5769706441,50439.5211397711,52691.2142465416,55632.7708935132,55156.8430950118,54465.3771697826,56511.7404073204,50135.2356864872,53391.3124592039
2003-04-01,56437.0661140611,63966.0894895666,57399.8322138155,58762.6732001762,60040.3584029673,63258.4597671195,59095.1363779594,61811.9698480958,54867.2864357228
2003-05-01,55507.7947972544,63110.5239485704,74804.7220175113,59986.6299848628,67637.8457283572,65378.8617788429,59606.6462605514,62639.8670425138,61969.1962630822
2003-06-01,61289.8388818048,69737.6683822286,68726.5807102903,61381.9072271051,63906.1065675292,87245.748446897,79236.2571367509,64509.1846927234,64399.9642207365
2003-07-01,61548.4455196238,60505.0348696809,61865.4788595877,61409.3302834067,62482.407451025,67122.4371069359,72667.6130451851,67284.4918026673,68195.6769152509
2003-08-01,65279.6697180375,69799.7905366851,62138.670452152,64108.3535615374,66145.9438938339,69138.1131874146,74004.918859434,72016.9075186054,65232.7909097293
2003-09-01,83621.3451172124,73221.751094537,80089.4284776173,79334.9078840867,84006.9964405244,75676.3401512786,84275.1606649097,76756.1319721915,72748.0089428448
2003-10-01,97422.7939097386,83169.4106524107,77071.5919790737,81106.0721585539,96628.3077418926,84160.9018267602,88543.4272681126,84170.2617493509,85718.4383347613
2003-11-01,100670.837648663,81053.1398310239,69818.9767827476,70602.4390457063,80240.0129792209,86983.075502178,50155.6310951302,57726.4799875465,47233.6672318154
2003-12-01,86823.7292089947,70606.7579602672,72308.6677991113,83914.7900477203,79694.4816630707,72609.8519944678,76636.4010202256,75485.9133357886,68901.7017674646
2004-01-01,70403.9509179738,55390.1206127381,48438.2229636399,70809.9535594149,50046.7125840875,67164.4677598092,42514.9383855423,53374.829883887,51692.1115688131
2004-02-01,64789.7742002744,53281.1053095653,50481.6130478068,54194.2367555333,76255.8360825912,55613.7357786614,59095.1363779594,60792.1074375959,60437.8646399356
2004-03-01,52228.722162949,59604.7916708713,54957.5757987244,68069.5784914049,60172.5978387926,57445.0120148135,61958.366719335,60701.9153839578,74999.1698999002
2004-04-01,70368.8003375897,63331.0720376777,81768.775729526,63419.7619096489,62381.3831139663,67620.2419694582,63538.1669231158,62427.8786891588,77829.731052488
2004-05-01,62279.0270110422,55966.8285507113,81333.1510258357,57226.7325927507,68217.4744401035,58348.6820094472,72426.2349591164,73539.7937813809,80025.5633534067
2004-06-01,61529.0322551464,65696.5769201948,66638.5432394053,60421.2571833705,65903.4058736412,71638.5913117389,64210.3074318708,63125.8766017931,68145.5062437923
2004-07-01,53121.6282099112,60246.7932180525,61005.2568947804,59457.5545207265,61776.9286374707,66094.8710236073,60332.4421760124,58814.5165232424,61135.596288478
2004-08-01,64246.194730199,87523.3958848621,66214.966856461,68738.9949768173,60720.3553374495,80922.2916996669,81485.6330672028,97120.6419471904,64809.0151875961
