routeid,variable,long,lat,month
1,long1,5.83191118153202,53.1662278341543,APR
2,long1,-117.418949408976,65.6703542654656,APR
3,long1,-8.83699916912402,36.3301918663617,APR
4,long1,56.7315492442586,48.7184683020887,APR
5,long1,-58.3427720469594,39.3538416328071,APR
6,long1,103.857697224438,75.0001241250227,APR
7,long1,96.506393139205,66.2331484687804,APR
8,long1,32.3687640180649,31.9758408974591,APR
9,long1,-109.364671615374,43.1644740222716,APR
10,long1,-120.199584372449,77.8263408814897,APR
11,long1,-51.6125493959324,71.3466863613553,APR
12,long1,-40.4689478337483,49.4709497802047,APR
13,long1,-146.351943820225,60.3173741573034,APR
1,long2,8.83428882670045,53.8952115191784,APR
2,long2,-122.261795692706,67.0420978786136,APR
3,long2,-6.75121809264417,36.2763593612672,APR
4,long2,58.7858828747139,48.6484298579009,APR
5,long2,-55.57585287787,39.6605434102475,APR
6,long2,114.114657688463,75.9032125972738,APR
7,long2,102.907570111535,65.9824393881636,APR
8,long2,33.9145203489675,31.7034365552052,APR
9,long2,-114.206382893248,43.4000984104807,APR
10,long2,-137.987912683939,78.4857127989745,APR
11,long2,-54.3893408893341,72.7125643235344,APR
12,long2,-38.3622762089442,50.2938944102137,APR
13,long2,-151.002438202247,61.5932449438203,APR
1,long3,12.109014397404,54.4800143891877,APR
2,long3,-126.694020570473,68.3497553011402,APR
3,long3,-4.79848657777337,36.2914699217437,APR
4,long3,60.0592633848759,48.5560645737612,APR
5,long3,-53.0775199978618,40.0976007225111,APR
6,long3,122.497374151409,77.2148142021171,APR
7,long3,104.666939183494,65.7267963752343,APR
8,long3,35.3706397466349,31.4602096992085,APR
9,long3,-114.861870463588,43.592833699101,APR
10,long3,-115.24642633168,78.6628915764261,APR
11,long3,-57.3489179633886,73.7564152973047,APR
12,long3,-35.2010129536364,51.2850464006166,APR
13,long3,-155.558146067416,62.6030348314607,APR
1,long4,15.5318172994101,54.7890143834528,APR
2,long4,-127.139693952843,69.6367062039143,APR
3,long4,-2.8990822857656,36.3207149036948,APR
4,long4,61.1598909866956,48.4186700549355,APR
5,long4,-50.5125746441541,40.6346188461644,APR
6,long4,114.275168518343,78.894849716085,APR
7,long4,103.70642254907,65.4611778205673,APR
8,long4,36.7400064268882,31.2409028006915,APR
9,long4,-112.345484003927,43.7762589717529,APR
10,long4,-42.4634996457848,78.39938948487,APR
11,long4,-59.9911309891685,74.3543193068265,APR
12,long4,-31.5507816308128,52.3475007858037,APR
13,long4,-159.150730337079,63.6478764044944,APR
1,long5,19.0402810415256,54.7717488304431,APR
2,long5,-125.243584730043,70.9063376637659,APR
3,long5,-1.0409994262633,36.3535942108756,APR
4,long5,62.2928172551121,48.2443879104373,APR
5,long5,-47.6800983713331,41.1991525494183,APR
6,long5,78.7799425030537,80.7475028310751,APR
7,long5,103.066559414218,65.173746867614,APR
8,long5,38.0797049965582,31.0748157561604,APR
9,long5,-107.99023012742,44.0103169477841,APR
10,long5,32.6215167577506,77.8317934841278,APR
11,long5,-61.9373782133312,74.5165214256522,APR
12,long5,-27.7673269327106,53.3944977106531,APR
13,long5,-162.887629213483,64.8016561797753,APR
1,long6,22.4025726760983,54.4929906127667,APR
2,long6,-123.100475234534,72.1395523922425,APR
3,long6,0.822185265705587,36.4312884721534,APR
4,long6,63.6389693914437,48.0425909900902,APR
5,long6,-44.674775324666,41.7426358078459,APR
6,long6,32.6319158968638,82.4314358601876,APR
7,long6,102.764193955739,64.8641486127785,APR
8,long6,39.435142271436,30.9789062226176,APR
9,long6,-103.399687126166,44.3782516462624,APR
10,long6,103.925876682522,77.1315740309685,APR
11,long6,-63.2212479496805,74.4603292919418,APR
12,long6,-23.9120069314392,54.4016174147484,APR
13,long6,-167.229685393258,65.9439730337079,APR
1,long7,25.5027269243712,54.0373630122339,APR
2,long7,-119.895393606794,73.2969627106131,APR
3,long7,2.77041780026534,36.5574752109944,APR
4,long7,65.3324011234425,47.7945245433065,APR
5,long7,-41.514236316978,42.2743599724052,APR
6,long7,-12.9623962469289,83.5790565381936,APR
7,long7,102.846781655373,64.5544889638479,APR
8,long7,40.7853686259888,30.9279782068286,APR
9,long7,-98.2633972631562,44.9388771678026,APR
10,long7,149.649403906487,76.4288188020781,APR
11,long7,-64.1305907202765,74.6136234446619,APR
12,long7,-20.0648492229716,55.3793008416376,APR
13,long7,-149.104988764045,66.9737292134832,APR
1,long8,28.6848160483373,53.4831772645175,APR
2,long8,-112.427894011697,74.3110760820219,APR
3,long8,4.83404165914375,36.668247404212,APR
4,long8,67.0613255273212,47.4803865623,APR
5,long8,-38.2906992460251,42.7849765521825,APR
6,long8,-41.7762617655844,83.7964348832663,APR
7,long8,102.902576098754,64.3041941426714,APR
8,long8,42.090520001733,30.9183046863735,APR
9,long8,-92.1591428451711,45.5820565399326,APR
10,long8,152.545579723712,75.7916551631077,APR
11,long8,-65.166875168583,75.2083805840417,APR
12,long8,-16.0095585736034,56.3461710374176,APR
13,long8,-40.0730898876404,68.0935089887641,APR
1,long9,32.0828259991613,52.9424369568898,APR
2,long9,-95.7357984940642,75.0503797911959,APR
3,long9,6.97966212568992,36.730484171712,APR
4,long9,68.5985059695004,47.1238331364319,APR
5,long9,-34.856798035813,43.2557320611986,APR
6,long9,-51.8578015411763,82.9227473875348,APR
7,long9,102.607681926358,64.1827384756723,APR
8,long9,43.3570955250136,30.990694353837,APR
9,long9,-85.5411467850714,46.0693852812134,APR
10,long9,145.495636887292,75.1958570067132,APR
11,long9,-65.0091592112376,76.1426850626943,APR
12,long9,-11.7564175787478,57.3157541749784,APR
13,long9,86.6127640449439,69.633706741573,APR
1,long10,35.4575902059915,52.5134165822054,APR
2,long10,-71.1201961064627,75.3697944394173,APR
3,long10,9.18511589152755,36.7810447005151,APR
4,long10,70.0172440596521,46.7642879752132,APR
5,long10,-31.1937787429706,43.699854873399,APR
6,long10,-47.6933576693116,81.3076716387269,APR
7,long10,102.101042862749,64.2044597741443,APR
8,long10,44.6113528380899,31.1628495871515,APR
9,long10,-78.6123773477711,46.309922163696,APR
10,long10,138.58458519718,74.599846363391,APR
11,long10,-63.8869264990945,77.1691644982251,APR
12,long10,-7.29590617707072,58.241373274602,APR
13,long10,146.370089887641,71.6018235955055,APR
1,long11,38.7981259238894,52.2090140075401,APR
2,long11,-42.5907870149417,75.2461348554512,APR
3,long11,11.4378286479769,36.8382011403363,APR
4,long11,71.3092730009953,46.4260683915541,APR
5,long11,-27.4216029926558,44.0866459564411,APR
6,long11,-29.2153392454061,79.3104219761463,APR
7,long11,101.707588334068,64.3577973941749,APR
8,long11,45.8483515802953,31.4019911621529,APR
9,long11,-71.6149072554142,46.4622504236103,APR
10,long11,131.613494880748,74.017333012853,APR
11,long11,-63.4105444512419,78.1922886257733,APR
12,long11,-2.33092779426982,59.0177012902214,APR
13,long11,163.501550561798,73.6312876404495,APR
1,long12,42.2496276895227,51.9753213309069,APR
2,long12,-7.45700882768851,74.7263857732519,APR
3,long12,13.7076149964604,36.8908331818604,APR
4,long12,72.4281872142653,46.1441208859126,APR
5,long12,-23.7198075339965,44.3601769110565,APR
