routeid,variable,long,lat,month
1,long1,121.826757845878,52.7230137714137,DEC
2,long1,74.2216298079595,44.3928063699505,DEC
3,long1,11.811421690981,46.5770165173453,DEC
4,long1,-107.322872348865,41.0575806875774,DEC
5,long1,14.4649367847914,26.6791000944735,DEC
6,long1,-7.165346104776,48.025994210745,DEC
7,long1,-63.9044061412712,37.1048385370405,DEC
8,long1,52.2866949237671,32.5848604182244,DEC
9,long1,108.50660220011,63.4088173041492,DEC
10,long1,-96.8473124002291,72.6457813673805,DEC
11,long1,36.9922977674882,55.8492696561562,DEC
12,long1,-48.6143698797861,46.4889906812162,DEC
13,long1,-115.154797975235,47.3508030282394,DEC
1,long2,125.351203694528,53.0652050776442,DEC
2,long2,75.629379223658,44.2892829135985,DEC
3,long2,15.0486238676957,46.7091783997317,DEC
4,long2,-111.28670611829,41.1034577923606,DEC
5,long2,16.1969647156568,26.5358914278628,DEC
6,long2,-4.18964326076702,48.2753786340569,DEC
7,long2,-61.7904955298064,37.4648224429427,DEC
8,long2,54.0015020791088,32.5351143345877,DEC
9,long2,111.213405409918,63.5410190815593,DEC
10,long2,-98.5735089811158,75.1050073364512,DEC
11,long2,41.9684534039228,55.5204614993343,DEC
12,long2,-44.4199267508254,47.0640061296035,DEC
13,long2,-113.33113090022,47.5554905036057,DEC
1,long3,125.771831215765,53.6518970891593,DEC
2,long3,76.9459475695238,44.1869388759668,DEC
3,long3,18.6116208805383,46.7353469456751,DEC
4,long3,-113.813324226118,41.0316908489063,DEC
5,long3,17.865835224857,26.4418548322237,DEC
6,long3,-0.975332805233253,48.5145405053045,DEC
7,long3,-60.0885855302535,37.8013428581905,DEC
8,long3,55.5680027086001,32.475495569244,DEC
9,long3,111.442027836263,63.7475879378507,DEC
10,long3,-96.5906485416095,77.6721606878534,DEC
11,long3,46.0008797245902,54.9573395005981,DEC
12,long3,-39.7132050207244,47.7304875660409,DEC
13,long3,-109.078196778522,47.7402508406689,DEC
1,long4,117.118329641886,54.2805017442742,DEC
2,long4,78.1408925559628,44.0817455304084,DEC
3,long4,22.2269113789748,46.6634415284218,DEC
4,long4,-112.972876335843,40.8668812149018,DEC
5,long4,19.452403430672,26.4154413712702,DEC
6,long4,2.34987949141922,48.7386760412173,DEC
7,long4,-57.7658236329039,38.1443980034097,DEC
8,long4,57.0057933494752,32.4147311664403,DEC
9,long4,108.189858498967,63.9644447249546,DEC
10,long4,-90.3699748328518,80.1767736645237,DEC
11,long4,49.4277427005018,54.2846178125465,DEC
12,long4,-34.5549171401543,48.3943835708342,DEC
13,long4,-104.255757854655,47.9648560404251,DEC
1,long5,94.0531540295494,54.773778075771,DEC
2,long5,79.1918769689705,43.9792164788619,DEC
3,long5,25.9278425096234,46.5277304933833,DEC
4,long5,-109.282147669484,40.6644056646562,DEC
5,long5,20.9726148744242,26.453486188424,DEC
6,long5,5.83115980927967,48.9361508186054,DEC
7,long5,-54.7190029528713,38.4998955721045,DEC
8,long5,58.3250207665236,32.3695201614685,DEC
9,long5,104.363977461037,64.1541318181322,DEC
10,long5,-85.7383811418655,82.078478613966,DEC
11,long5,52.6011725684547,53.5238140971521,DEC
12,long5,-29.210544994114,48.9181475811185,DEC
13,long5,-99.0433711243816,48.3111398147761,DEC
1,long6,48.6466557637584,54.9495844539274,DEC
2,long6,80.0610171785139,43.8739885810887,DEC
3,long6,29.7689949689573,46.3689454560829,DEC
4,long6,-105.122949548262,40.5569744982201,DEC
5,long6,22.4524560570761,26.5392312898238,DEC
6,long6,9.47662020232928,49.1056591713469,DEC
7,long6,-51.091160198392,38.8883088777014,DEC
8,long6,59.5450854064412,32.3608116137165,DEC
9,long6,100.765355665714,64.3259075203782,DEC
10,long6,-62.8534313441254,82.8611870452131,DEC
11,long6,55.3018410498145,52.6960382523897,DEC
12,long6,-23.9516356546796,49.2265507982108,DEC
13,long6,-93.5037582176444,48.9921238423922,DEC
1,long7,-5.68068384490082,54.8132921316089,DEC
