routeid,variable,long,lat,month
1,long1,122.527737731934,59.7761309288329,MAY
2,long1,75.4047793848971,66.391193998951,MAY
3,long1,-110.052481395297,70.5367117980561,MAY
4,long1,-97.5524537036816,46.268944823783,MAY
5,long1,-11.1999451526432,42.1174479707241,MAY
6,long1,54.8382759004967,52.808739020293,MAY
7,long1,-17.8542076008753,36.2554990901324,MAY
8,long1,112.65231245476,61.3516796126732,MAY
9,long1,-63.1829280853274,38.4188702383319,MAY
10,long1,8.66405881569219,57.2946286177745,MAY
11,long1,45.3183178111387,42.0232280044876,MAY
12,long1,-57.1315144204357,53.1473382559068,MAY
13,long1,23.8716650091787,35.22381597149,MAY
1,long2,95.65704980429,61.1713314252622,MAY
2,long2,75.701091646778,66.5808580144168,MAY
3,long2,-110.335445202975,71.4736963663361,MAY
4,long2,-100.277021391012,46.3508211484384,MAY
5,long2,-9.47092823504033,42.2580545279306,MAY
6,long2,56.6579924735564,52.7252118214252,MAY
7,long2,-14.8362403557022,36.5183197420913,MAY
8,long2,113.635288726434,61.6748852587899,MAY
9,long2,-59.537986246133,38.4702932361012,MAY
10,long2,8.42530946959508,57.8132499081131,MAY
11,long2,47.6173683619441,41.9059460379441,MAY
12,long2,-52.7848161607827,54.2907384995593,MAY
13,long2,25.8065542786079,35.06896313877,MAY
1,long3,49.2938464114005,62.1277226575519,MAY
2,long3,75.4076243099317,66.7651789374363,MAY
3,long3,-111.08042854408,72.4396880092775,MAY
4,long3,-100.138068720717,46.4776374394563,MAY
5,long3,-7.86841867409559,42.4366357689843,MAY
6,long3,58.6932944562867,52.6421756162699,MAY
7,long3,-11.7100347615164,36.8901805430196,MAY
8,long3,113.780535766314,61.9439584578952,MAY
9,long3,-55.9251532560748,38.5488450636799,MAY
10,long3,9.77468198330719,58.3317644161628,MAY
11,long3,49.7494521895518,41.7627544754947,MAY
12,long3,-47.8781507777682,55.5138075973533,MAY
13,long3,27.6349978355891,34.9029684056268,MAY
1,long4,31.5433792967792,61.8993192915361,MAY
2,long4,74.7202338762666,66.9178371691379,MAY
3,long4,-112.718690466694,73.4344381135873,MAY
4,long4,-98.5211978158151,46.7612697966935,MAY
5,long4,-6.34183190446562,42.5944221033343,MAY
6,long4,60.7693351083842,52.5550629463179,MAY
7,long4,-8.45665712761493,37.3784216282824,MAY
8,long4,113.653816405803,62.1432654802831,MAY
9,long4,-52.2761732804346,38.6706026119957,MAY
10,long4,12.1459794265275,58.836727892687,MAY
11,long4,51.4718101937763,41.6039576615448,MAY
12,long4,-42.3494745054402,56.6410014656333,MAY
13,long4,29.3234335500346,34.6600689451144,MAY
1,long5,12.2225730955803,60.8752365808483,MAY
2,long5,73.9064580870597,67.0382968734598,MAY
3,long5,-114.455007304757,74.4444137388327,MAY
4,long5,-95.9863176995438,47.1743828765638,MAY
5,long5,-4.88288109665546,42.7119334291399,MAY
6,long5,62.6943783052211,52.4976968641721,MAY
7,long5,-5.10447358243843,38.0154231433714,MAY
8,long5,113.52191208024,62.3216897406683,MAY
9,long5,-48.5640716581179,38.7970097026958,MAY
10,long5,16.7143691517416,59.3290073206145,MAY
11,long5,53.0027920426258,41.502253557881,MAY
12,long5,-36.4793837718948,57.5933875639107,MAY
13,long5,30.8553203484232,34.3983576614613,MAY
1,long6,-33.6417574830659,60.0850468429745,MAY
2,long6,72.9993974727319,67.0896430210955,MAY
3,long6,-115.843802147555,75.4915769837276,MAY
4,long6,-92.5955371570951,47.6553169677034,MAY
5,long6,-3.39142076855281,42.8222629153527,MAY
6,long6,64.6234784876281,52.454893199178,MAY
7,long6,-1.65295848130456,38.8269163447307,MAY
8,long6,113.41101175704,62.4900484134721,MAY
9,long6,-44.8206466781387,38.9529976247986,MAY
10,long6,22.3467006923483,59.7973795104983,MAY
11,long6,54.4140470618057,41.481784232548,MAY
12,long6,-30.3633719061185,58.4421495073637,MAY
13,long6,32.3152112234602,34.2105191172864,MAY
1,long7,-81.1238704434366,60.108906140904,MAY
2,long7,71.4190749005555,67.0026936549498,MAY
3,long7,-112.858845611743,76.5724786011437,MAY
4,long7,-88.2851754444796,48.1810135190541,MAY
5,long7,-1.83192623072217,42.9106834644276,MAY
6,long7,66.6681361469907,52.3190316194204,MAY
7,long7,1.92991500249819,39.6955801889559,MAY
8,long7,113.184381843164,62.6193867434619,MAY
9,long7,-41.0571960894521,39.1747580150617,MAY
10,long7,27.260741447638,60.2107240980028,MAY
11,long7,55.7279931166005,41.5038417678676,MAY
12,long7,-23.9539027939967,59.2121495922534,MAY
13,long7,33.7832762302212,34.0687792872887,MAY
1,long8,-108.040485269978,60.8302301159581,MAY
2,long8,69.3077491964369,66.7574292354287,MAY
3,long8,-102.3249491006,77.6958293705821,MAY
4,long8,-83.3300938132669,48.7013488449978,MAY
5,long8,-0.229742078938866,42.9216694538476,MAY
6,long8,68.7251471732557,52.0292950463426,MAY
7,long8,5.58199351947858,40.3897299588755,MAY
8,long8,112.760483614248,62.7252044919182,MAY
9,long8,-37.1261720367303,39.4189703185378,MAY
10,long8,31.5052616259944,60.5121369285844,MAY
11,long8,56.9491674581885,41.5493857741164,MAY
12,long8,-17.4098086241548,59.8843189894144,MAY
13,long8,35.2519998338563,33.9313197482546,MAY
1,long9,-119.298725527696,61.8213308263251,MAY
2,long9,67.4125984019832,66.4257395402419,MAY
3,long9,-87.7312812758443,78.8285033593904,MAY
4,long9,-78.2340188767675,49.1556020553693,MAY
5,long9,1.46747832873872,42.8811190122402,MAY
6,long9,70.7045235382376,51.6349209888843,MAY
7,long9,9.16392977128107,40.7740473801465,MAY
8,long9,112.07712191769,62.8600601768837,MAY
9,long9,-33.0867806814954,39.681597004113,MAY
10,long9,35.3710920913321,60.6624385089475,MAY
11,long9,58.1150627839518,41.6521809815054,MAY
12,long9,-10.8643162172626,60.49803709349,MAY
13,long9,36.6993438806702,33.8793922683606,MAY
1,long10,-123.908403692145,62.5455046620984,MAY
2,long10,65.7784085232462,66.057597821118,MAY
3,long10,-60.2161597692176,79.8886332312733,MAY
4,long10,-73.0866358127773,49.5481567326856,MAY
5,long10,3.27111118609665,42.8880671104276,MAY
6,long10,72.5723183629818,51.1906379544925,MAY
7,long10,12.6309770224375,40.8265808975674,MAY
8,long10,111.138352830283,63.0381005099284,MAY
9,long10,-29.0864848994367,40.0276929112175,MAY
10,long10,39.6255395267808,60.6423332042183,MAY
11,long10,59.3034199447845,41.8078938342685,MAY
12,long10,-4.24680151251735,61.0708347853394,MAY
13,long10,38.1950282445358,34.0074434259253,MAY
1,long11,-125.494964837906,62.7718452661792,MAY
2,long11,64.1781595571616,65.6105370143309,MAY
3,long11,-25.3925139216572,80.8695202729236,MAY
4,long11,-67.8325505416345,49.939417784364,MAY
5,long11,5.17600354437021,42.9666828651719,MAY
6,long11,74.2344878044544,50.7389598839975,MAY
7,long11,16.0044164621047,40.5284165171919,MAY
8,long11,109.917118442294,63.2693140049808,MAY
9,long11,-25.1209858806686,40.45282771868,MAY
10,long11,43.9087025120596,60.400256437742,MAY
11,long11,60.524538752443,41.9262027607313,MAY
12,long11,2.64697527144364,61.482158726447,MAY
13,long11,39.7916670939159,34.265089836817,MAY
1,long12,-121.572044569526,62.8616459092446,MAY
