routeid,variable,long,lat,month
1,long1,132.615653601417,54.6248260578351,NOV
2,long1,96.5687250755288,71.7010498489426,NOV
3,long1,120.480847638826,66.7230686418874,NOV
4,long1,-16.5981730859092,36.3993577427478,NOV
5,long1,-99.2609855855029,47.0323696452004,NOV
6,long1,-60.4609989199744,40.3974867409593,NOV
7,long1,35.6257354724651,25.8643479795136,NOV
8,long1,7.97538850771342,47.5194275348053,NOV
9,long1,-122.376834769955,70.9786136936676,NOV
10,long1,-39.3273802103835,53.5627758007148,NOV
11,long1,45.3074961105886,45.4861637352118,NOV
12,long1,58.8186398727281,50.9347392257093,NOV
13,long1,16.9700027294272,66.3963052934893,NOV
1,long2,129.664124667709,56.5106274451228,NOV
2,long2,104.651990936556,70.4787054380664,NOV
3,long2,123.167790543021,67.7653116756684,NOV
4,long2,-14.8302958862949,36.2884566526976,NOV
5,long2,-103.73627620197,47.3458108918602,NOV
6,long2,-58.3179469666956,40.5912264949665,NOV
7,long2,36.3130601397517,25.7376176859057,NOV
8,long2,10.5940976213422,47.5307612333822,NOV
9,long2,-130.233612650725,71.5389659552182,NOV
10,long2,-35.7315454409459,54.4460751451268,NOV
11,long2,47.2616755495709,45.3901766470765,NOV
12,long2,62.8960998257168,50.9640736206506,NOV
13,long2,19.7386841383389,67.100941730659,NOV
1,long3,65.2034214446095,58.7018409870197,NOV
2,long3,114.417889728097,69.4124652567976,NOV
3,long3,123.170905388123,68.7276496037188,NOV
4,long3,-13.006021734628,36.1695819803608,NOV
5,long3,-104.519852011992,47.6369178080316,NOV
6,long3,-56.1016968837492,40.8783527970808,NOV
7,long3,36.986646067263,25.5694678481594,NOV
8,long3,13.2538241722465,47.5187895019318,NOV
9,long3,-131.616146525061,72.0356223348334,NOV
10,long3,-31.9952030917228,55.3797388236159,NOV
11,long3,49.297238648313,45.3075660186407,NOV
12,long3,69.0677326691299,50.9523308214472,NOV
13,long3,22.3807349776146,67.8209561370979,NOV
1,long4,-21.5928605288116,60.6610343488949,NOV
2,long4,124.757521148037,68.7038172205438,NOV
3,long4,120.155057382155,69.5816206929402,NOV
4,long4,-11.0993927573901,36.036853846738,NOV
5,long4,-102.746158322908,47.8513967217819,NOV
6,long4,-53.4027611156844,41.2683276213858,NOV
7,long4,37.6112357636014,25.3669725704312,NOV
8,long4,15.9296543386616,47.4632821546467,NOV
9,long4,-129.525612427183,72.4810014296608,NOV
10,long4,-28.1048314923681,56.4041221466265,NOV
11,long4,50.5497746780303,45.201760528954,NOV
12,long4,73.604566619279,50.9065825450667,NOV
13,long4,25.4998532979031,68.4924455640315,NOV
1,long5,-88.6360023034856,61.6388810078927,NOV
2,long5,132.549042296072,68.5709078549849,NOV
3,long5,116.588945233813,70.3018725753304,NOV
4,long5,-9.13070280202765,35.8943930969565,NOV
5,long5,-99.5210516771222,47.9675403433618,NOV
6,long5,-50.2396187676107,41.7346390189047,NOV
7,long5,38.1846078766469,25.1904939591635,NOV
8,long5,18.5910446203194,47.3631577400866,NOV
9,long5,-122.428508797486,72.8922897335842,NOV
10,long5,-24.0041383919677,57.5777281545811,NOV
11,long5,51.2042608310604,45.0616889828654,NOV
12,long5,76.8346890952727,50.8544993819228,NOV
13,long5,29.4629906562599,69.063647057281,NOV
1,long6,-123.65102005534,61.1573180589759,NOV
2,long6,135.267758308157,69.0403126888218,NOV
3,long6,114.415732650099,70.9228062850108,NOV
4,long6,-7.16368180758181,35.772219096117,NOV
5,long6,-96.2507000251179,47.998781494481,NOV
6,long6,-47.1832087574689,42.2342453659386,NOV
7,long6,38.7507527520096,25.0945514866629,NOV
8,long6,21.2277482735828,47.2467868053725,NOV
9,long6,-101.648450326421,73.2683861214266,NOV
10,long6,-19.6150143750471,58.9271712485192,NOV
11,long6,51.184229068832,44.8857851873616,NOV
12,long6,78.9978743265713,50.7845704101352,NOV
13,long6,33.9512964312885,69.5204401725719,NOV
1,long7,-130.826348777103,59.670672530678,NOV
2,long7,100.587045317221,69.9223504531722,NOV
3,long7,113.147626540646,71.5238091032796,NOV
4,long7,-5.24358177446922,35.6906735639001,NOV
5,long7,-92.8496909579918,47.9864487262882,NOV
6,long7,-44.1047068200488,42.7301352337892,NOV
7,long7,39.3340889129772,25.0764153015357,NOV
8,long7,23.8489172749848,47.1418277792798,NOV
9,long7,-70.6792209104568,73.6256392724526,NOV
10,long7,-14.7659548656694,60.3636862182553,NOV
11,long7,49.6877826068181,44.6763121058285,NOV
12,long7,80.1317511908541,50.6554138358277,NOV
13,long7,38.7907199416171,69.8396333454611,NOV
1,long8,-128.666959162336,58.2342633594092,NOV
2,long8,33.769913897281,71.0857205438067,NOV
3,long8,111.397657602275,72.147891080358,NOV
4,long8,-3.36858160980583,35.6306685039084,NOV
5,long8,-88.6816767277342,48.0066745481073,NOV
6,long8,-40.9287059404129,43.1932505215194,NOV
7,long8,39.914637175059,25.1183805704248,NOV
8,long8,26.4947622165831,47.0567173284952,NOV
9,long8,-39.7621016504414,73.9735056427296,NOV
10,long8,-9.28667869202922,61.6818259188744,NOV
11,long8,48.0640233427548,44.4622717996087,NOV
12,long8,81.0470097997623,50.4501182144697,NOV
