routeid,variable,long,lat,month
1,long1,-40.2145675333596,44.763782336237,OCT
2,long1,-167.455755395683,54.9377446043166,OCT
3,long1,-114.453349567096,62.726733442913,OCT
4,long1,140.685343092275,76.9345343347639,OCT
5,long1,54.2573438943738,62.8326652128776,OCT
6,long1,-20.8941987927175,57.0554521522885,OCT
7,long1,66.9571232136508,44.7160730673832,OCT
8,long1,112.753449601376,67.3427408764192,OCT
9,long1,32.4774744147906,34.854851632729,OCT
10,long1,-1.05487676009133,59.6688245397949,OCT
11,long1,35.3448529062583,54.5678508520123,OCT
12,long1,-92.1025912016839,51.2686226820688,OCT
13,long1,-7.39579560490094,35.0852694695905,OCT
1,long2,-37.7780027656497,44.9637754082522,OCT
2,long2,-168.066025179856,54.7194100719425,OCT
3,long2,-112.556063207686,64.2832092989738,OCT
4,long2,147.282925066524,78.2014216738197,OCT
5,long2,57.4492609522028,62.7420888595388,OCT
6,long2,-17.1525723561647,57.4014902468369,OCT
7,long2,68.5996744333403,44.6143532857662,OCT
8,long2,124.327207689383,68.039277511449,OCT
9,long2,34.4218735379344,34.6999063418339,OCT
10,long2,4.42588636498669,61.0505507158112,OCT
11,long2,37.079364607142,54.3237907862335,OCT
12,long2,-94.789121739152,51.5661015130727,OCT
13,long2,-5.08807278589256,35.208141116635,OCT
1,long3,-35.301037951008,45.2083933748283,OCT
2,long3,-82.0868093525179,54.4909784172662,OCT
3,long3,-107.54665023986,65.6822160401007,OCT
4,long3,133.925541201717,78.8971920600858,OCT
5,long3,60.1182981413846,62.4443799304654,OCT
6,long3,-13.6222451574449,57.6183781982629,OCT
7,long3,70.0852924752202,44.49690757685,OCT
8,long3,130.469179942662,68.7020897709121,OCT
9,long3,36.3067348556139,34.6035715104587,OCT
10,long3,11.5921967149564,62.2213875697307,OCT
11,long3,38.4865645765465,54.0204486331371,OCT
12,long3,-95.3652904844544,51.9073623119353,OCT
13,long3,-2.69408320365522,35.5177010126826,OCT
1,long4,-32.9137757355282,45.4175320492204,OCT
2,long4,18.9274820143885,54.8111582733813,OCT
3,long4,-100.964469720358,66.757074902116,OCT
4,long4,82.9359416738198,79.2405429184549,OCT
5,long4,62.0622555293533,61.9074033656302,OCT
6,long4,-10.0682746203704,57.7727988662975,OCT
7,long4,71.4100236190626,44.3694528288831,OCT
8,long4,130.344832816245,69.3017140683466,OCT
9,long4,38.102663731163,34.5408682838093,OCT
10,long4,19.7842799109368,63.0024224112638,OCT
11,long4,39.6081033254598,53.6504237268889,OCT
12,long4,-93.2194399517863,52.3044676563412,OCT
13,long4,-0.142354949737582,35.9505993218516,OCT
1,long5,-30.6377967722072,45.5447009212855,OCT
2,long5,71.3250395683453,56.0578021582734,OCT
3,long5,-94.8040480495395,67.4090479425275,OCT
4,long5,21.6579418669528,79.449948497854,OCT
5,long5,63.3786043801386,61.1669092240956,OCT
6,long5,-6.49803579704231,57.9721506085796,OCT
7,long5,72.6230923579749,44.2604641254223,OCT
8,long5,128.686640410322,69.7665985830148,OCT
9,long5,39.8037604572286,34.5340451238585,OCT
10,long5,28.0958002080628,63.3211842654967,OCT
11,long5,40.5034959239886,53.2569883517272,OCT
12,long5,-89.4388882287334,52.7467845285049,OCT
13,long5,2.57567075063456,36.4143667540888,OCT
1,long6,-28.3909794125689,45.6377620344174,OCT
2,long6,128.930690647482,58.0523165467626,OCT
3,long6,-88.8699533260371,67.7175871853594,OCT
4,long6,-42.3945987339056,79.6581630901287,OCT
5,long6,64.3528560989002,60.3034447271544,OCT
6,long6,-2.90843025060991,58.3321919694269,OCT
7,long6,73.7868013697901,44.1418152687554,OCT
8,long6,126.250171757811,70.011889958885,OCT
9,long6,41.4516410972654,34.6308123185673,OCT
10,long6,35.943642416393,63.2080755742753,OCT
11,long6,41.2655908393384,52.8886504301247,OCT
12,long6,-85.3226820509617,53.2024865986006,OCT
13,long6,5.44397451801023,36.8454821006019,OCT
1,long7,-25.7540562516494,45.7795091173931,OCT
2,long7,158.342928057554,60.3015,OCT
3,long7,-82.4376084834223,67.8032088748567,OCT
4,long7,-108.27561276824,79.9402306866953,OCT
5,long7,65.1105059814357,59.3905746535643,OCT
6,long7,0.89096304692004,58.9161974294993,OCT
7,long7,74.9104403883364,43.9665022716483,OCT
8,long7,123.968402676557,70.0386765500765,OCT
9,long7,43.0799615506531,34.7966490107745,OCT
10,long7,43.3813767422225,62.720653726361,OCT
11,long7,41.9869316441366,52.5481321313675,OCT
12,long7,-81.0940459976647,53.6138434096865,OCT
13,long7,8.47569118888965,37.1769498747835,OCT
1,long8,-22.6201810319077,46.0293627048794,OCT
2,long8,161.593428057554,62.4910215827338,OCT
3,long8,-73.8689650445336,67.7238491526488,OCT
4,long8,-148.659924785408,80.4030987124464,OCT
5,long8,65.6415669655847,58.4742099618158,OCT
6,long8,4.84396253734356,59.7323402184768,OCT
7,long8,75.9841068805417,43.770362337836,OCT
8,long8,121.552840340643,69.9163362177191,OCT
9,long8,44.674783194343,34.9726074045728,OCT
10,long8,50.0962000614117,61.8674399966065,OCT
11,long8,42.6064958435648,52.2391226336487,OCT
12,long8,-76.7101005932915,53.9327139520772,OCT
13,long8,11.6142237516791,37.3506711301808,OCT
1,long9,-19.3555174250625,46.4078734100071,OCT
2,long9,156.013071942446,64.5746582733813,OCT
3,long9,-62.427492660394,67.6313624602099,OCT
4,long9,-158.460069742489,81.1378336909871,OCT
5,long9,66.0845294743335,57.5840573016276,OCT
6,long9,8.84489575094079,60.7471632838261,OCT
7,long9,77.0220744691835,43.6243920809227,OCT
8,long9,118.827355161248,69.7262831715752,OCT
9,long9,46.2469525408695,35.1736037618401,OCT
10,long9,55.4132550039982,60.7072770307815,OCT
11,long9,43.0991372447538,52.0032652898447,OCT
12,long9,-71.9246231904413,54.220243959704,OCT
13,long9,14.7090044622691,37.4008311424652,OCT
1,long10,-16.0012755067416,46.9431281759562,OCT
2,long10,151.567830935252,66.5090071942446,OCT
3,long10,-48.5935055574458,67.6999417558738,OCT
4,long10,-148.360393776824,82.2743015021459,OCT
5,long10,66.578653501169,56.7175749567272,OCT
6,long10,13.0290601371788,61.8718902962321,OCT
7,long10,78.0333312998492,43.5245996903632,OCT
8,long10,115.791303299431,69.5235893183584,OCT
