routeid,variable,long,lat,month
1,long1,0.785109097049301,46.0636645885052,SEP
2,long1,97.1350878319923,57.9951923544071,SEP
3,long1,37.1269738054322,33.1556864109116,SEP
4,long1,-47.9409342494796,45.336977677172,SEP
5,long1,62.5629833828573,49.7314767588868,SEP
6,long1,34.9639973229412,55.0791529574181,SEP
7,long1,-157.255320512821,74.2357948717949,SEP
8,long1,-91.3941772392474,48.4408459698679,SEP
9,long1,43.4325381922263,47.2821704631796,SEP
10,long1,79.1918234968738,40.4119398166675,SEP
11,long1,4.08764883241151,35.4168358269847,SEP
12,long1,-24.3105986870949,59.2549578125953,SEP
13,long1,20.9730805242875,64.9737915409101,SEP
1,long2,3.95428936672201,46.2114778770186,SEP
2,long2,97.9418006613149,57.9188736784662,SEP
3,long2,38.0959664762824,33.1881948831619,SEP
4,long2,-44.491144844606,45.7562149598239,SEP
5,long2,64.5591678475779,49.5120830598961,SEP
6,long2,37.4473597237445,55.2460193189114,SEP
7,long2,-155.85717948718,75.4392564102564,SEP
8,long2,-90.7073236937139,48.9536752563082,SEP
9,long2,44.2241386404999,47.2210198506692,SEP
10,long2,79.8288796079318,40.128878710969,SEP
11,long2,5.72556388436394,35.2200610850753,SEP
12,long2,-19.6952803331777,60.0417110489372,SEP
13,long2,27.8065655148718,65.4598957667414,SEP
1,long3,7.15603589584571,46.3925162506543,SEP
2,long3,98.0452008842682,57.7855385820817,SEP
3,long3,39.0843137304847,33.2759382696529,SEP
4,long3,-40.6602346194193,46.2230168849497,SEP
5,long3,66.2999583584569,49.2455767514245,SEP
6,long3,40.0350092332973,55.485840419578,SEP
7,long3,-157.698237179487,76.5663237179487,SEP
8,long3,-89.0918918773014,49.5844141826181,SEP
9,long3,44.9624197197274,47.1665110189771,SEP
10,long3,80.3404433308761,39.8128469428135,SEP
11,long3,7.29725723063098,35.0394280294384,SEP
12,long3,-14.8300419695932,60.8511745077359,SEP
13,long3,34.0428866440481,65.7548438370769,SEP
1,long4,10.3725060729844,46.56306378714,SEP
2,long4,97.2314929682448,57.6384893586775,SEP
3,long4,40.0747725023666,33.3869516173693,SEP
4,long4,-36.4754662038044,46.7021153241284,SEP
5,long4,67.6516835504853,48.9218625666828,SEP
6,long4,42.6920041360979,55.7198562973439,SEP
7,long4,-130.197083333333,78.0344006410256,SEP
8,long4,-86.1832153742231,50.2221065943627,SEP
9,long4,45.5647006027534,47.0936905680176,SEP
10,long4,80.6923348502638,39.5264266601988,SEP
11,long4,8.81437137698256,34.8465120154287,SEP
12,long4,-9.78744324222619,61.5569576221015,SEP
13,long4,39.9672845212506,65.8277664414639,SEP
1,long5,13.6468458083674,46.6745698932524,SEP
2,long5,95.1177777392635,57.5054931850654,SEP
3,long5,41.059098567238,33.5727402255709,SEP
4,long5,-32.0979868452246,47.1495242733114,SEP
5,long5,68.5764987999839,48.5703091289554,SEP
6,long5,45.5296869627796,55.9202188091901,SEP
7,long5,-73.8217948717949,79.9446025641026,SEP
8,long5,-82.2657596480611,50.7003564980003,SEP
9,long5,45.9963542239818,47.039655455662,SEP
10,long5,80.9330003299267,39.3044446780841,SEP
11,long5,10.219729721876,34.6238577611479,SEP
12,long5,-4.89127665943289,62.0512915274309,SEP
13,long5,45.520527386997,65.6856288092551,SEP
1,long6,17.0528208081564,46.7618782184868,SEP
2,long6,95.0752042464499,57.3485694080699,SEP
3,long6,42.1005961109222,33.8956819762559,SEP
4,long6,-27.6223667787025,47.5721945845753,SEP
5,long6,69.1881323612347,48.1829654709169,SEP
6,long6,48.8217094394114,56.0559355244057,SEP
7,long6,5.59737179487179,81.6993782051282,SEP
8,long6,-77.7701300180159,50.9442671499657,SEP
9,long6,46.3480762260021,47.029942616257,SEP
10,long6,81.1026940620805,39.0955883254059,SEP
11,long6,11.5244280981457,34.4083233655089,SEP
12,long6,-0.112349082822293,62.3513984164928,SEP
13,long6,50.9077160604507,65.3597067539696,SEP
1,long7,20.5014571159449,46.8508822310752,SEP
2,long7,96.638861489743,57.1493132337869,SEP
3,long7,43.2681662464131,34.3037421132211,SEP
4,long7,-23.0686612854934,47.9622238571052,SEP
5,long7,69.6348905490108,47.7292050507292,SEP
6,long7,52.6252218779071,55.9923305805711,SEP
7,long7,80.3255256410257,82.3360416666667,SEP
8,long7,-72.7656446788642,51.0254361859696,SEP
9,long7,46.703465506437,47.029894401325,SEP
10,long7,81.190430169955,38.8859297550648,SEP
11,long7,12.8067028682345,34.2205582122811,SEP
12,long7,4.78029363863252,62.5095084281086,SEP
13,long7,56.2571443559656,64.8559036401921,SEP
1,long8,23.8301592666388,46.9159522036333,SEP
2,long8,97.44595517821,57.0035233206579,SEP
3,long8,44.5509172009087,34.7106387149163,SEP
4,long8,-18.3929604572432,48.2528344254758,SEP
5,long8,69.996751274395,47.2427829842206,SEP
6,long8,56.5979333351025,55.5918539584395,SEP
7,long8,108.414669871795,81.1777532051282,SEP
8,long8,-67.4509173869687,51.050496146418,SEP
9,long8,47.0406399527284,47.0209097577632,SEP
10,long8,81.2109350978757,38.7456584197684,SEP
11,long8,14.1417032065811,34.0237653537856,SEP
12,long8,9.91324528179687,62.5858321970259,SEP
13,long8,61.5741226357899,64.1801029349645,SEP
1,long9,26.930159870061,46.9791159441697,SEP
2,long9,97.9482838755079,57.0163715920878,SEP
3,long9,45.894888856037,35.1173769464821,SEP
4,long9,-13.577942400037,48.3898001685499,SEP
5,long9,70.357652335889,46.7992146587595,SEP
