"","x"
"1",0.287230968912007
"2",0.13089958496545
"3",0.0929173851823178
"4",0.071194650321722
"5",0.0622778632785396
"6",0.0604505540275089
"7",0.0500579555985905
"8",0.0478845839064962
"9",0.0349813118105462
"10",0.0298675988120909
"11",0.0255376874075441
"12",0.0195158407453956
"13",0.014634665038571
"14",0.0131452186549093
"15",0.0109032796499298
"16",0.0080957035980662
"17",0.00678000094115473
"18",0.00606326064822124
"19",0.00415829238575196
"20",0.00301817007951444
"21",0.00188423389190906
"22",0.00170326822976342
"23",0.0014667840562188
"24",0.00126820535016393
"25",0.00118039712789809
"26",0.00101733446734704
"27",0.000838142654734097
"28",0.000751545866496503
"29",0.000733037577451967
"30",0.000676986373162322
"31",0.000614027536513112
"32",0.000607176231094843
"33",0.000547719106955122
"34",0.000484579684576336
"35",0.000450494478531103
"36",0.000410824801279997
"37",0.000357639524403827
"38",0.000340189066354435
"39",0.000309598448355134
"40",0.000290712840695472
"41",0.000270003530008503
"42",0.000261101255047612
"43",0.000220650476962753
"44",0.000207881451999477
"45",0.000200420191555796
"46",0.000191389636950586
"47",0.000181897855269181
"48",0.000170549059990628
"49",0.000164098594096658
"50",0.000142763253872502
"51",0.000138540209966731
"52",0.000135143735509867
"53",0.000125380367867709
"54",0.000119028504774263
"55",0.000116059461059565
"56",0.00010853558174128
"57",0.000102255994884281
"58",9.5669504892364e-05
"59",8.97045927656969e-05
"60",8.55148575512972e-05
"61",7.97220916449981e-05
"62",7.53555986349874e-05
"63",6.91951840907693e-05
"64",6.3381408273809e-05
"65",5.93890717199827e-05
"66",5.46918059389355e-05
"67",5.25316476884568e-05
"68",4.82687324031608e-05
"69",4.39623475152106e-05
"70",4.28074529568477e-05
"71",4.05937990462542e-05
"72",3.95914162995964e-05
"73",3.70883982731407e-05
"74",3.54401032177219e-05
"75",3.4092663414271e-05
"76",3.11087162941663e-05
"77",2.94815902018938e-05
"78",2.73966523699795e-05
"79",2.63234753080095e-05
"80",2.56434503104982e-05
"81",2.48756811926403e-05
"82",2.36098928468829e-05
"83",2.15652689212071e-05
"84",2.05306027571896e-05
"85",1.95128852520119e-05
"86",1.90352911798683e-05
"87",1.76676411306707e-05
"88",1.60758052621452e-05
"89",1.50865750693129e-05
"90",1.43785265805007e-05
"91",1.37792700342088e-05
"92",1.26676965839641e-05
"93",1.23610365381294e-05
"94",1.15822869565002e-05
"95",1.07214359280485e-05
"96",1.00813792487152e-05
"97",9.59256468720855e-06
"98",8.81286167932974e-06
"99",8.30605399907575e-06
"100",8.16166502003941e-06
"101",7.48496508517946e-06
"102",7.33656984486141e-06
"103",7.08737597428062e-06
"104",6.38630937939603e-06
"105",6.09612183662108e-06
"106",5.80817715250923e-06
"107",5.45230848946998e-06
"108",5.30978074814304e-06
"109",4.98288622594082e-06
"110",4.52364527775798e-06
"111",4.381176242962e-06
"112",3.70862389450937e-06
"113",3.43702321841566e-06
"114",3.25155873159904e-06
"115",3.17881307502533e-06
"116",3.09175212105525e-06
"117",2.86506858728231e-06
"118",2.74772530901998e-06
"119",2.31734604920772e-06
"120",2.19379445163635e-06
"121",1.9887344456612e-06
"122",1.70085091636797e-06
"123",1.52073000315873e-06
"124",1.38744293964897e-06
"125",1.16182849036227e-06
"126",1.02669749405602e-06
"127",9.81779143117878e-07
"128",9.16971914399868e-07
"129",8.49996920149858e-07
"130",7.98679937933288e-07
"131",7.62769885628543e-07
"132",7.31226312537072e-07
"133",6.48518426033329e-07
"134",6.39019995780534e-07
"135",5.7127590350328e-07
"136",5.54016483210814e-07
"137",4.79348652851926e-07
"138",4.51353192348755e-07
"139",4.22080464097534e-07
"140",3.59806336172378e-07
"141",3.32425409263671e-07
"142",2.70210031121951e-07
"143",2.61367136448519e-07
"144",2.18975729709907e-07
"145",1.87146118017929e-07
"146",1.43513905970101e-07
"147",1.1465044744047e-07
"148",1.02024417724522e-07
"149",7.86445825200029e-08
"150",6.0249900283487e-08
"151",3.98098126742902e-08
"152",3.69759370239505e-08
"153",1.75380248746545e-08
"154",8.86747981383291e-09
"155",4.42810883544546e-14
"156",2.02999414689328e-09
"157",3.27970751019563e-16
"158",1.62283458324602e-15
"159",2.68586341161683e-15
"160",6.09404614194554e-17
"161",1.19978889902719e-15
"162",1.66467738855847e-15
