date,type,value,variable
2018,(a) Mean-TWS-among-SWs,-0.463570868029971,SSP245_TWS
2019,(a) Mean-TWS-among-SWs,0.425368008882401,SSP245_TWS
2020,(a) Mean-TWS-among-SWs,-0.460987845770862,SSP245_TWS
2021,(a) Mean-TWS-among-SWs,0.63646628327248,SSP245_TWS
2022,(a) Mean-TWS-among-SWs,0.85340286429649,SSP245_TWS
2023,(a) Mean-TWS-among-SWs,0.245929848685245,SSP245_TWS
2024,(a) Mean-TWS-among-SWs,-0.0750882415963493,SSP245_TWS
2025,(a) Mean-TWS-among-SWs,0.300226485173454,SSP245_TWS
2026,(a) Mean-TWS-among-SWs,0.143477409935245,SSP245_TWS
2027,(a) Mean-TWS-among-SWs,0.141087009475677,SSP245_TWS
2028,(a) Mean-TWS-among-SWs,0.29883047091588,SSP245_TWS
2029,(a) Mean-TWS-among-SWs,0.199845172905234,SSP245_TWS
2030,(a) Mean-TWS-among-SWs,0.0169382156359451,SSP245_TWS
2031,(a) Mean-TWS-among-SWs,0.0488636583692967,SSP245_TWS
2032,(a) Mean-TWS-among-SWs,-0.295633466316281,SSP245_TWS
2033,(a) Mean-TWS-among-SWs,0.367749078119022,SSP245_TWS
2034,(a) Mean-TWS-among-SWs,0.382040311449814,SSP245_TWS
2035,(a) Mean-TWS-among-SWs,-0.655514250117834,SSP245_TWS
2036,(a) Mean-TWS-among-SWs,-0.343219144743608,SSP245_TWS
2037,(a) Mean-TWS-among-SWs,-0.616146537374774,SSP245_TWS
2038,(a) Mean-TWS-among-SWs,-0.309799276163577,SSP245_TWS
2039,(a) Mean-TWS-among-SWs,-0.451564773680487,SSP245_TWS
2040,(a) Mean-TWS-among-SWs,-0.143603262522355,SSP245_TWS
2041,(a) Mean-TWS-among-SWs,0.0750027080327223,SSP245_TWS
2042,(a) Mean-TWS-among-SWs,0.332618344798548,SSP245_TWS
2043,(a) Mean-TWS-among-SWs,-0.00232666877769106,SSP245_TWS
2044,(a) Mean-TWS-among-SWs,0.260108866509091,SSP245_TWS
2045,(a) Mean-TWS-among-SWs,-0.235228052157933,SSP245_TWS
2046,(a) Mean-TWS-among-SWs,-0.129041054764136,SSP245_TWS
2047,(a) Mean-TWS-among-SWs,-0.396571264078088,SSP245_TWS
2048,(a) Mean-TWS-among-SWs,-1.22041726139328,SSP245_TWS
2049,(a) Mean-TWS-among-SWs,-0.964226396649484,SSP245_TWS
2050,(a) Mean-TWS-among-SWs,-0.445162036291663,SSP245_TWS
