date,type,value,variable
2018,(a) Mean-TWS-among-SWs,0.467924523708828,SSP585_TWS
2019,(a) Mean-TWS-among-SWs,0.319492166346103,SSP585_TWS
2020,(a) Mean-TWS-among-SWs,0.657067184636006,SSP585_TWS
2021,(a) Mean-TWS-among-SWs,0.0183143745292654,SSP585_TWS
2022,(a) Mean-TWS-among-SWs,0.704355312723006,SSP585_TWS
2023,(a) Mean-TWS-among-SWs,1.11404640052509,SSP585_TWS
2024,(a) Mean-TWS-among-SWs,0.642838416518868,SSP585_TWS
2025,(a) Mean-TWS-among-SWs,0.0852163164836787,SSP585_TWS
2026,(a) Mean-TWS-among-SWs,0.698109584075057,SSP585_TWS
2027,(a) Mean-TWS-among-SWs,0.189491314033118,SSP585_TWS
2028,(a) Mean-TWS-among-SWs,0.896358845329937,SSP585_TWS
2029,(a) Mean-TWS-among-SWs,0.153447328988498,SSP585_TWS
2030,(a) Mean-TWS-among-SWs,0.664723871750176,SSP585_TWS
2031,(a) Mean-TWS-among-SWs,1.37787735464578,SSP585_TWS
2032,(a) Mean-TWS-among-SWs,0.357140011385323,SSP585_TWS
2033,(a) Mean-TWS-among-SWs,0.167285709101396,SSP585_TWS
2034,(a) Mean-TWS-among-SWs,-0.340632462259203,SSP585_TWS
2035,(a) Mean-TWS-among-SWs,-0.389505565350382,SSP585_TWS
2036,(a) Mean-TWS-among-SWs,0.316041873002179,SSP585_TWS
2037,(a) Mean-TWS-among-SWs,-0.727818728241032,SSP585_TWS
2038,(a) Mean-TWS-among-SWs,-0.786545691088209,SSP585_TWS
2039,(a) Mean-TWS-among-SWs,0.280880917908408,SSP585_TWS
2040,(a) Mean-TWS-among-SWs,0.101502327487644,SSP585_TWS
2041,(a) Mean-TWS-among-SWs,0.302235656984107,SSP585_TWS
2042,(a) Mean-TWS-among-SWs,-0.832619611206399,SSP585_TWS
2043,(a) Mean-TWS-among-SWs,-0.480989131516233,SSP585_TWS
2044,(a) Mean-TWS-among-SWs,-0.430722492324434,SSP585_TWS
2045,(a) Mean-TWS-among-SWs,-0.559543573750745,SSP585_TWS
2046,(a) Mean-TWS-among-SWs,-0.481825325039294,SSP585_TWS
2047,(a) Mean-TWS-among-SWs,-0.385120611675083,SSP585_TWS
2048,(a) Mean-TWS-among-SWs,-0.881318522449084,SSP585_TWS
2049,(a) Mean-TWS-among-SWs,-1.74339488950098,SSP585_TWS
2050,(a) Mean-TWS-among-SWs,-0.711810653319915,SSP585_TWS
