"","V1"
"1","Belgium"
"2","Czech Republic"
"3","Denmark"
"4","France"
"5","Germany"
"6","Greece"
"7","Hungary"
"8","Luxembourg"
"9","Netherlands"
"10","Poland"
"11","Slovakia"
"12","Spain"
"13","Sweden"
"14","Turkey"
"15","Estonia"
"16","Israel"
"17","Slovenia"
"18","United Kingdom"
"19","Latvia"
"20","Lithuania"
"21","Albania"
"22","Armenia"
"23","Austria"
"24","Azerbaijan"
"25","Bosnia and Herzegovina"
"26","Bulgaria"
"27","Belarus"
"28","Switzerland"
"29","Cyprus"
"30","Georgia"
"31","Croatia"
"32","Ireland"
"33","Iraq"
"34","Iran"
"35","Italy"
"36","Jordan"
"37","Kyrgyzstan"
"38","Kazakhstan"
"39","Lebanon"
"40","Morocco"
"41","Moldova"
"42","Montenegro"
"43","Pakistan"
"44","Portugal"
"45","Romania"
"46","Serbia"
"47","Syria"
"48","Tajikistan"
"49","Turkmenistan"
"50","Tunisia"
"51","Ukraine"
"52","Uzbekistan"
"53","Xinjiang"
"54","North China Plain"
