country,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Belgium,1.037982549,3.571204343,2.321737054,2.552349944,3.676881136,0.446928735,-2.020743062,2.864292708,1.694513899,0.739217283,0.459242193,1.578533143,2.041459009,1.266686409
Denmark,0.390058556,2.668219267,2.336641308,3.913007978,0.909238928,-0.512016745,-4.90654773,1.870991147,1.336777767,0.226499792,0.933340972,1.619393811,2.342591108,3.245956985
Greece,5.794531643,5.060992425,0.599142172,5.652433373,3.273746857,-0.33517238,-4.300733885,-5.479036989,-10.14931457,-7.082353942,-2.741772076,0.698145275,-0.411901538,-0.489852889
Poland,3.498399184,4.982822123,3.506847453,6.131143946,7.061543813,4.199962292,2.832184589,3.740517779,4.757638004,1.324890828,1.125767836,3.378578073,4.236326306,3.141731229
Israel,1.123803391,4.20130921,3.829403549,5.593636168,5.742456602,2.999678667,0.925296246,5.58024614,4.626407467,2.430918053,4.199807588,3.92086116,2.218113151,3.826574872
Slovenia,2.960260286,4.359192778,3.797972642,5.746396901,6.980160755,3.509841517,-7.548437791,1.343748472,0.861327733,-2.639438757,-1.029282772,2.768158831,2.210081607,3.191852518
Georgia,11.05872319,5.794496346,9.589574062,9.419770648,12.57895343,2.418571659,-3.650513631,6.249487768,7.399999867,6.369008306,3.621305352,4.431924823,3.02220738,2.90643878
Iraq,-36.65815267,53.38179418,1.671889622,5.646297801,1.885572141,8.228107104,3.379299094,6.402564845,7.5464712,13.93643017,7.628571185,0.19701671,4.722864019,13.78737302
Kyrgyzstan,7.030293201,7.026812415,-0.175515413,3.102898745,8.542874764,8.40161606,2.886294575,-0.471566601,5.956274309,-0.088150201,10.91546945,4.024038626,3.875825448,4.335855917
Kazakhstan,9.3,9.600000001,9.699999999,10.7,8.9,3.3,1.199999999,7.3,7.400000001,4.8,5.999999999,4.200000001,1.2,1.1
Moldova,6.60000004,7.39999969,7.50000014,4.79999985,3.00000024,7.80000014,-6.0000003,7.10000008,5.8181664,-0.5897341,9.04386548,4.99962567,-0.3382353,4.40888672
Montenegro,2.48265936,4.42605296,4.18060153,8.56641951,6.81015049,7.22279087,-5.7950941,2.73437443,3.22841873,-2.7237996,3.54898434,1.78368226,3.39035841,2.94934081
Syria,0.6,6.9,6.2,5,5.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tajikistan,10.9999991,10.2999989,6.69999852,7.00000321,7.80000012,7.89999827,3.90000115,6.49999909,7.4000006,7.49999946,7.39999975,6.70000069,5.99999926,6.89999962
Ukraine,9.515923065,12.10876949,2.997300112,7.439917934,7.593520408,2.304024911,-14.75856217,3.834392505,5.465501846,0.238681721,-0.02669789,-6.552631294,-9.772960791,2.235067619
