ACCESS-ESM1-5,BCC-CSM2-MR,CanESM5,GFDL-ESM4,IPSL-CM6A-LR,MIROC6,MRI-ESM2-0,NorESM2-LM
-40156.5538769364,-104635.395481884,-14791.4651081562,-109349.394470453,-34200.1755160093,-59022.342300415,-96633.0709220022,-23210.5394012928
-39063.2053706944,-92963.8603741825,-16971.5427446961,-109488.610517394,-33457.6309726238,-50010.5418614745,-97264.2726208884,-18067.176441133
-49675.0715553761,-90322.4848349988,-16291.2413029671,-106092.904425781,-32426.2085537016,-68604.9783241749,-93318.1571690366,-17816.4732842743
-44471.8989921212,-84905.705436606,-16529.9801366329,-73919.2766335085,-26547.7454214096,-44391.6285999678,-101121.940604985,-22933.4651172161
-23870.9114917517,-55670.1330559254,-8706.50181674957,-41325.5211623907,-16671.5510133803,-5766.86928123422,-58734.0025578626,-14003.0323372781
-16874.2412579209,-43120.5216644481,-46.3403254933655,-12667.7393959016,-6804.27202706039,99.4107541888952,-37551.4212270975,-3624.79139232636
-28604.1195539236,-30784.9245978296,3680.64364120364,-27105.8753626496,-2495.85569918156,-10335.3158991337,-21673.6857625223,-7608.58188056946
-24017.3629621863,-39037.0367125273,7551.02865052223,-12229.3733889014,-6620.58328092098,-19527.7545368671,-11061.548037082,-10222.4899055958
-19351.9063495416,-36528.6472284719,5452.92397469282,-2481.14991673827,-1820.46096358448,-9302.80187612772,-6351.51693038642,-2022.11567302048
-16191.4195179045,-43968.7872369736,-5046.03229227662,-27312.8622668088,-12678.3705193102,-37566.8229106665,-40327.6096776677,-902.157230734825
-23067.7420490384,-86806.1006945372,-9872.30804377794,-110956.49570257,-20896.1436367631,-36323.1869042516,-70536.6098063439,-16563.8327925205
-46775.5209776163,-130564.036507189,-14560.6201076508,-105362.739488915,-20108.1254552305,-52165.9752860665,-112136.2030944,-19067.0363887548
-53199.2268945277,-108621.234420031,-15140.7308908105,-121944.373039939,-34201.2767484188,-51764.5668465048,-98503.7929591238,-21708.0814428329
-48550.0399418585,-96893.5518157035,-14736.4083428383,-95252.1741071791,-34044.7011134625,-53510.991779089,-78873.5770880054,-19810.3284908682
-46564.4950172007,-87714.1805163548,-13864.6105369329,-94327.3975273073,-31089.3152672648,-61748.3266507536,-80511.1586010456,-20740.2142394781
-29615.9347028732,-87528.5458670855,-11032.8284688294,-67221.0907395035,-29468.440122962,-9594.80715347826,-78797.0258405209,-21726.3647876531
-22770.517509222,-63313.9875140488,-7526.65142337233,-45958.9409419894,-20230.6745817065,-10931.423825264,-77793.0137831979,-11587.8495228887
-24.1389997303486,-29969.9475109428,1330.92965936661,-19421.1285559982,-4285.4055532217,14982.4042081833,-5312.98524840037,-9192.86415958405
-26572.0949926376,-25826.5675876737,1180.88285452127,-27982.5301530585,-9712.45696265995,-10111.8820804358,-15037.555910185,-9232.61568188667
-21584.1278486252,-21335.7491810918,4367.05808959901,-30369.8711800538,-6916.57925789058,-5589.85331392288,-23964.8212487288,-6914.58295112848
-14504.0207197368,-49321.90956074,-928.711708933115,-16011.6255137306,-2617.13260276243,-17207.2650090605,786.293291077018,4887.35749972612
-16017.0846365988,-43760.0066590905,-2252.55061510205,-27206.3514320031,-6976.91997119784,-14643.8348161317,-22673.4153683148,2370.55440187454
-37893.5667038262,-72127.9521530569,-8415.69290852547,-62456.2584159076,-24522.9949485362,-51206.2557150424,-45718.8894713074,-21363.8007494211
-56866.426031366,-107484.027591087,-15659.0554599762,-110826.907915259,-35838.0436452329,-54953.0880844593,-88884.1124886274,-31404.1452036202
-52877.5411582589,-96297.3386626616,-14977.958955735,-104770.256897807,-33513.7881741524,-69792.0875782967,-102489.701579571,-20438.2411262989
-34087.3596333265,-77509.2232494941,-12302.6603600681,-110071.665894628,-27536.9923161864,-58096.0566351209,-89834.9537813813,-24060.261938557
-31401.4199173525,-100975.080783427,-14690.3356176317,-109448.160523444,-32748.3419531956,-61505.8315195367,-99991.6611859799,-26613.8452714682
