"","tws_sumt","tws_sumt","tws_sumt","tws_sumt","tws_sumt","tws_sumt","tws_sumt","tws_sumt","tws_sumt","tws_sumt","tws_sumt","tws_sumt","tws_sumt","tws_sumt","tws_sumt","tws_sumt","tws_sumt","tws_sumt","tws_sumt"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",0.0651185328951495,0.144288070478568,-0.144202707053996,0.230708932658787,-0.00212990483582204,-0.327754474233778,0.350111574625176,-0.137483992054588,-0.142709966387099,0.43867390568938,0.241371218170372,0.200438671172626,0.337165308634549,0.42477407226016,0.100291403495355,-0.311196128908431,0.374261722379556,-0.499574106946947,0.276223007056935
"8",0.061440524533957,0.115871679832495,-0.19832812961451,0.218809566424804,-0.110022640323176,-0.371506605191442,0.39035313952848,-0.17615851763637,-0.0989099447052884,0.459592275503347,0.255454926981293,0.177054603333028,0.352930463466217,0.454203185346352,0.0634814107623545,-0.288244983079756,0.394525042772751,-0.522850316821517,0.311637523018993
"9",0.0475522117836438,0.0960970017491052,-0.230333439454677,0.208388307307895,-0.17746961194896,-0.396827638972741,0.430020132184382,-0.18618881192103,-0.0409941171654474,0.472952074373991,0.27034018625333,0.163156594070227,0.345202244514994,0.470730332484389,0.0193804736804058,-0.268547372419295,0.420106620955159,-0.529140964021298,0.348993847330915
"10",0.050847164927901,0.114577508003808,-0.248375059107536,0.216023500829179,-0.193410683676666,-0.441718788101654,0.441078714103289,-0.179680932222145,0.00362042347449829,0.473216812620964,0.286135426606948,0.168850571711933,0.310838044422574,0.489038735839379,-0.0065645603746776,-0.275492589577078,0.435973125953316,-0.528301329870826,0.381592149738591
"11",0.063503436559689,0.134567478589925,-0.247400353787581,0.228724824407737,-0.192056880263186,-0.490795318645198,0.443993414385024,-0.166001850307692,0.0353273506702843,0.474592481932087,0.305849906929885,0.187950953921255,0.273375370054788,0.499993067048324,-0.0182298304186662,-0.287410263824735,0.453026381062813,-0.510146650168856,0.404368136514086
"12",0.0778299156346254,0.142773615208144,-0.252657823520477,0.242001537910198,-0.178842547565345,-0.525628730569955,0.45305921064002,-0.138866173227625,0.0667298111450376,0.478387701709958,0.319542424471398,0.191232765408126,0.234348370413769,0.484326488748253,-0.0385130433718687,-0.310035178598087,0.458596715243685,-0.48844397111935,0.412891293758941
