ACCESS-ESM1-5,BCC-CSM2-MR,CanESM5,GFDL-ESM4,IPSL-CM6A-LR,MIROC6,MRI-ESM2-0,NorESM2-LM
63149.6711541115,59502.2426601665,65982.9217175571,69766.3076366936,63995.3697616716,65239.4667677244,61909.1468990172,65710.8348137021
59960.5817589346,56937.638117956,60079.5435516314,62312.4406378322,58110.3977287413,65844.4462251274,56874.7292384845,58280.2547472745
52246.0791320235,62418.7760539387,50452.3157775762,52991.1431544203,55489.5040447738,55074.2195229836,54027.1227597601,54680.5077681027
58298.3351864413,54162.7160371777,56983.5058623033,51694.5481378427,54590.2594241321,58959.7372542704,56884.5424499599,59555.3306641324
65037.0239911915,63667.7370585756,58177.5350667631,64637.2250321233,64928.0141385044,61244.5927828281,64151.88066339,64574.7891566207
58963.6425409185,58464.6614032183,48255.1527260953,63027.3558266135,66851.1981174134,68894.0289646323,58201.9060451216,67746.4709138605
57959.0023845179,57265.6402874168,50050.4532418825,68499.4460550421,51640.7320135891,67110.1329937359,57412.8486319172,60829.2145408368
69824.500606388,67046.3104868326,65261.6888738748,68809.905796633,70622.6529910324,71204.4850461608,69542.2122547223,64980.0039370459
82154.8096807671,81448.5168941197,80434.9451115525,82597.3346831234,82996.7418569025,81004.1675127105,80163.9531774656,82546.6970084994
91997.6745791748,91580.4817107761,89723.5031089596,91529.5908265524,94048.9595877941,91823.9844897234,88695.7618078153,91797.3742349207
98927.3371595003,98995.1521960302,97704.8485930358,98721.4588850664,99068.9246595394,95306.3854267687,96692.8290214429,95433.0733551654
81421.8745058087,90153.2005669993,83905.7668506655,86095.5137452001,75679.1757688612,86755.5987854837,80644.1679382309,89161.0014632517
56981.0118581549,65074.3205231708,65960.500011903,67495.8872251067,66403.8972503296,66985.9776658161,64186.6801470882,67687.5179009761
57029.2492540543,56450.4681323925,60055.0397701901,60037.6008162035,56339.138164999,65754.2908334524,57576.4863487374,60919.329557545
