ACCESS-ESM1-5,BCC-CSM2-MR,CanESM5,GFDL-ESM4,IPSL-CM6A-LR,MIROC6,MRI-ESM2-0,NorESM2-LM
-0.0209183290614492,-0.0209183290614492,-0.0209183290614492,-0.0209183290614492,-0.0209183290614492,-0.0209183290614492,-0.0209183290614492,-0.0209183290614492
-0.0547001049485145,-0.0547001049485145,-0.0547001049485145,-0.0547001049485145,-0.0547001049485145,-0.0547001049485145,-0.0547001049485145,-0.0547001049485145
-0.0995393241284858,-0.0995393241284858,-0.0995393241284858,-0.0995393241284858,-0.0995393241284858,-0.0995393241284858,-0.0995393241284858,-0.0995393241284858
-0.152014740778702,-0.152014740778702,-0.152014740778702,-0.152014740778702,-0.152014740778702,-0.152014740778702,-0.152014740778702,-0.152014740778702
-0.183304258767728,-0.183304258767728,-0.183304258767728,-0.183304258767728,-0.183304258767728,-0.183304258767728,-0.183304258767728,-0.183304258767728
-0.181553826180074,-0.181553826180074,-0.181553826180074,-0.181553826180074,-0.181553826180074,-0.181553826180074,-0.181553826180074,-0.181553826180074
-0.180512807845623,-0.180512807845623,-0.180512807845623,-0.180512807845623,-0.180512807845623,-0.180512807845623,-0.180512807845623,-0.180512807845623
-0.178582823641199,-0.178582823641199,-0.178582823641199,-0.178582823641199,-0.178582823641199,-0.178582823641199,-0.178582823641199,-0.178582823641199
-0.147084637449224,-0.147084637449224,-0.147084637449224,-0.147084637449224,-0.147084637449224,-0.147084637449224,-0.147084637449224,-0.147084637449224
-0.129529985651907,-0.129529985651907,-0.129529985651907,-0.129529985651907,-0.129529985651907,-0.129529985651907,-0.129529985651907,-0.129529985651907
-0.151913641129647,-0.151913641129647,-0.151913641129647,-0.151913641129647,-0.151913641129647,-0.151913641129647,-0.151913641129647,-0.151913641129647
-0.163159498802421,-0.163159498802421,-0.163159498802421,-0.163159498802421,-0.163159498802421,-0.163159498802421,-0.163159498802421,-0.163159498802421
-0.160626364292377,-0.160626364292377,-0.160626364292377,-0.160626364292377,-0.160626364292377,-0.160626364292377,-0.160626364292377,-0.160626364292377
-0.148639726999012,-0.148639726999012,-0.148639726999012,-0.148639726999012,-0.148639726999012,-0.148639726999012,-0.148639726999012,-0.148639726999012
-0.113201675590738,-0.113201675590738,-0.113201675590738,-0.113201675590738,-0.113201675590738,-0.113201675590738,-0.113201675590738,-0.113201675590738
